category,subcategory,description,price_eu,compare,brand,supermercado
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Ligeras Bolsa 130 Gr,1.19,"9,15 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Onduladas Jamón Bolsa 170 Gr,1.35,"7,94 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Ruedas de Patata Bolsa 80 Gr,1.15,"14,38 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Tiras de Maíz Sabor Barbacoa 130 Gr,0.65,"5,00 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Maíz Crudo Palomitas Bolsa 250 Gr,0.85,"3,40 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Cacahuetes Fritos Piel Bolsa 250 Gr,1.3,"5,20 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Cortezas de Cerdo Bolsa 100 Gr,1.27,"12,70 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Piñones Caja 40 Gr,2.95,"7,38 € / 100 Gr",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Pepinillos Finos Vinagre Frasco 230 Gr,1.25,"5,43 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Pepinillos Finos Sabor Anchoa Frasco 230 Gr,1.39,"6,04 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Cocktail Aceitunas y Pepinillos Frasco 500 Gr,2.89,"5,78 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Banderillas Dulces Frasco 215 Gr,2.09,"9,72 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Banderillas Picantes Frasco 215 Gr,2.09,"9,72 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Garbanzos Tostados Bolsa 125 Gr,1.29,"10,32 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Anacardos Fritos Doypack 200 Gr,2.59,"12,95 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Avellanas Tostadas Bolsa 200 Gr,3.29,"16,45 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aperitivo de Maíz Gustosines Sal Bolsa 96 Gr,1.89,"19,69 € / 1 Kg",Cheetos,CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Gazpachas Partidas Frasco 500 Gr,2.65,"5,30 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Dracos Snack de Maíz Sabor Queso-Bacón 80 Gr,1.19,"14,88 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Guindillas Vascas en Vinagre Frasco 130 Gr,4.25,"32,69 € / 1 Kg",Guipuzcoana,CONSUM
Despensa,Aperitivos y frutos secos,Pepinillos Estilo Alemán Frasco 880 Gr,4.29,"4,88 € / 1 Kg",Orzech,CONSUM
Despensa,Aperitivos y frutos secos,Nuez Cascara Bolsa 600 Gr,3.25,"5,42 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Bolsa 210 Gr,1.35,"6,43 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Onduladas Bolsa 210 Gr,1.35,"6,43 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Almendras con Piel Tostadas Sal Bolsa 200 Gr,2.99,"14,95 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Pipas G con Sal Bolsa 165 Gr,1.55,"9,39 € / 1 Kg",Grefusa,CONSUM
Despensa,Aperitivos y frutos secos,Almendras Repeladas Fritas Bolsa 200 Gr,2.85,"14,25 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Habas Fritas Bolsa 100 Gr,1.29,"12,90 € / 1 Kg",Consum,CONSUM
Despensa,Aperitivos y frutos secos,Aceituna Pelotín Sabor Anchoa 250 Gr,2.59,"10,36 € / 1 Kg",Bernal,CONSUM
Despensa,Aperitivos y frutos secos,Cebolla Roja 500 Gr,3.49,"6,98 € / 1 Kg",Corbi,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Bolsa 140 Gr,1.45,"10,36 € / 1 Kg",Duso,CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Bolsa 300 Gr,2.69,"8,97 € / 1 Kg",Duso,CONSUM
