description,product_code,category,subcategory,pr_23,pr_24
"Agua mineral pequeña Bronchales tapón infantil",28567,"Agua y refrescos",Agua,0.36,0.38
"Agua mineral grande Bezoya",27314,"Agua y refrescos",Agua,4.38,4.44
"Agua mineral grande Bezoya",27230,"Agua y refrescos",Agua,0.73,0.74
"Agua mineral grande Ribes",27292,"Agua y refrescos",Agua,2.12,1.99
"Agua mineral grande Ribes",27155,"Agua y refrescos",Agua,3.3,3.3
"Agua mineral grande Ribes",27038,"Agua y refrescos",Agua,0.55,0.55
"Agua mineral grande Nestlé Aquarel",27099,"Agua y refrescos",Agua,3.54,3.54
"Agua mineral grande Nestlé Aquarel",27232,"Agua y refrescos",Agua,0.59,0.59
"Agua mineral grande Font Vella",27350,"Agua y refrescos",Agua,4.2,4.2
"Agua mineral grande Font Vella",27204,"Agua y refrescos",Agua,0.73,0.73
"Agua mineral grande Solán de Cabras",27327,"Agua y refrescos",Agua,5.22,5.34
"Agua mineral grande Solán de Cabras",27356,"Agua y refrescos",Agua,0.87,0.89
"Agua mineral grande Viladrau",27253,"Agua y refrescos",Agua,3.78,3.78
"Agua mineral grande Viladrau",27221,"Agua y refrescos",Agua,0.63,0.63
"Agua de coco Chaokoh 100% natural",28198,"Agua y refrescos","Refresco de té y sin gas",2.6,2.6
"Agua de coco Chaokoh 100% natural",28198,"Agua y refrescos","Refresco de té y sin gas",2.6,2.6
"Agua de coco Chaokoh 100% natural",28198,"Agua y refrescos",Agua,2.6,2.6
"Agua de coco Chaokoh 100% natural",28198,"Agua y refrescos",Agua,2.6,2.6
"Agua mineral con gas grande Vichy Catalan",27213,"Agua y refrescos",Agua,1.49,1.49
"Agua mineral con gas pequeña Vichy Catalan",28185,"Agua y refrescos",Agua,5.89,5.89
"Agua mineral con gas grande Cortes",27366,"Agua y refrescos",Agua,2.28,2.46
"Agua mineral con gas grande Cortes",27367,"Agua y refrescos",Agua,0.38,0.41
"Agua mineral con gas pequeña Cortes",27368,"Agua y refrescos",Agua,1.5,1.62
"Agua mineral con gas pequeña Cortes",27369,"Agua y refrescos",Agua,0.25,0.27
"Agua mineral con gas grande San Narciso",27084,"Agua y refrescos",Agua,1.29,1.29
"Agua mineral con gas grande San Pellegrino",27894,"Agua y refrescos",Agua,8.1,8.16
"Agua mineral con gas grande San Pellegrino",27893,"Agua y refrescos",Agua,1.35,1.36
"Agua de soda con sifón La Casa",27203,"Agua y refrescos",Agua,1.6,1.6
"Agua mineral con gas grande Fonter",27598,"Agua y refrescos",Agua,6.54,6.84
"Agua mineral con gas grande Fonter",27597,"Agua y refrescos",Agua,1.09,1.14
"Gaseosa Hacendado grande",27973,"Agua y refrescos",Agua,0.5,0.5
"Gaseosa Hacendado pequeña",27972,"Agua y refrescos",Agua,1.92,1.92
"Gaseosa Hacendado pequeña",27971,"Agua y refrescos",Agua,0.32,0.32
"Gaseosa La Casera grande",27733,"Agua y refrescos",Agua,2.26,2.36
"Gaseosa La Casera grande",27735,"Agua y refrescos",Agua,1.15,1.2
