description,product_code,category,subcategory,pr_23,pr_24
"Mini taquitos de jamón Incarlopsa",59018,"Charcutería y quesos","Jamón serrano",2.49,2.65
"Jamón serrano Incarlopsa lonchas",59124,"Charcutería y quesos","Jamón serrano",3.88,4.1
"Jamón serrano cortado a máquina",15700,"Charcutería y quesos","Jamón serrano",2.96,3.68
"Jamón gran reserva cortado a máquina",13526,"Charcutería y quesos","Jamón serrano",3.52,4
"Jamón cebo ibérico cortado a máquina",22879,"Charcutería y quesos","Jamón serrano",7.84,8.24
"Jamón serrano reserva cortado a cuchillo",58274,"Charcutería y quesos","Jamón serrano",3.24,3.51
"Jamón cebo ibérico cortado a cuchillo",58278,"Charcutería y quesos","Jamón serrano",6.3,6.75
"Jamón bellota ibérico cortado a cuchillo",58280,"Charcutería y quesos","Jamón serrano",11.7,12.15
"Jamón bellota ibérico 100% cortado a cuchillo",58298,"Charcutería y quesos","Jamón serrano",13.95,14.4
"Jamón serrano Jamcal medias lonchas",59280,"Charcutería y quesos","Jamón serrano",3.97,4.15
"Paleta curada lonchas Paletas Marpa",59173,"Charcutería y quesos","Jamón serrano",3.87,4.1
"Jamón de Trevélez Antonio Álvarez lonchas extra finas",59028,"Charcutería y quesos","Jamón serrano",3.24,3.5
"Taquitos de jamón Incarlopsa",59071,"Charcutería y quesos","Jamón serrano",2.52,2.65
"Taco jamón curado Marpa",58328,"Charcutería y quesos","Jamón serrano",3.4,3.76
"Hueso garrón Incarlopsa",58307,"Charcutería y quesos","Jamón serrano",0.87,1.16
"Hueso garrón Incarlopsa",58307,"Charcutería y quesos","Jamón serrano",0.87,1.16
"Surtido de ibéricos La Hacienda del ibérico",58230,"Charcutería y quesos","Jamón serrano",5.95,5.95
"Surtido de ibéricos La Hacienda del ibérico",58230,"Charcutería y quesos","Jamón serrano",5.95,5.95
"Surtido de ibéricos La Hacienda del ibérico",58230,"Charcutería y quesos","Embutido curado",5.95,5.95
"Surtido de ibéricos La Hacienda del ibérico",58230,"Charcutería y quesos","Embutido curado",5.95,5.95
"Panceta salada ibérica La Hacienda del ibérico",58220,"Charcutería y quesos","Jamón serrano",2.7,2.7
"Panceta salada ibérica La Hacienda del ibérico",58220,"Charcutería y quesos","Jamón serrano",2.7,2.7
"Cecina ahumada natural Embutidos Pajariel lonchas",59101,"Charcutería y quesos","Jamón serrano",2.99,3.25
"Codillo de jamón entero Incarlopsa",58306,"Charcutería y quesos","Jamón serrano",1.88,2.48
"Paleta de cebo ibérica La Hacienda del ibérico",58215,"Charcutería y quesos","Jamón serrano",4.3,4.9
"Jamón de Teruel El Ontanar lonchas",59269,"Charcutería y quesos","Jamón serrano",3.16,3.55
"Jamón serrano gran reserva Costa Brava sin aditivos lonchas",15628,"Charcutería y quesos","Jamón serrano",1.99,2.3
"Jamón serrano Incarlopsa",58293,"Charcutería y quesos","Jamón serrano",58,58
"Paleta de cebo ibérica La Hacienda del ibérico",58154,"Charcutería y quesos","Jamón serrano",52,58
"Paleta de cerdo curada Marpa",58006,"Charcutería y quesos","Jamón serrano",28,30
"Jamón de cebo ibérico La Hacienda del ibérico",58294,"Charcutería y quesos","Jamón serrano",129,129
"Jamón de bellota ibérico 50% La Hacienda del ibérico",58286,"Charcutería y quesos","Jamón serrano",369,391.5
"Jamón bellota ibérico 100% Covap",58297,"Charcutería y quesos","Jamón serrano",454.5,481.5
"Paté de cerdo sabor suave Hacendado",52176,"Charcutería y quesos","Paté y sobrasada",1.35,1.35
"Paté de cerdo con finas hierbas Hacendado",52307,"Charcutería y quesos","Paté y sobrasada",1.15,1.15
"Paté de cerdo con pimienta Hacendado",52311,"Charcutería y quesos","Paté y sobrasada",1.15,1.15
"Paté de cerdo con pimienta verde Hacendado",52099,"Charcutería y quesos","Paté y sobrasada",1.45,1.45
"Paté de atún Hacendado",13867,"Charcutería y quesos","Paté y sobrasada",2.1,2.1
"Paté de cerdo campaña Hacendado",52334,"Charcutería y quesos","Paté y sobrasada",1.15,1.15
"Paté de cerdo con finas hierbas Hacendado",52100,"Charcutería y quesos","Paté y sobrasada",1.45,1.45
"Crema para untar fiambre de jamón york Hacendado sabor ahumado",59993,"Charcutería y quesos","Paté y sobrasada",1.4,1.4
"Paté de salmón Hacendado",52336,"Charcutería y quesos","Paté y sobrasada",1.15,1.15
"Paté de cerdo light Hacendado",52183,"Charcutería y quesos","Paté y sobrasada",1.6,1.4
"Paté olivada Hacendado",52106,"Charcutería y quesos","Paté y sobrasada",1.75,1.75
"Paté de jamón Hacendado",52335,"Charcutería y quesos","Paté y sobrasada",1.15,1.15
"Paté de cerdo ibérico Hacendado",52178,"Charcutería y quesos","Paté y sobrasada",1.75,1.75
"Paté de cerdo sabor intenso Hacendado",52177,"Charcutería y quesos","Paté y sobrasada",1.75,1.75
"Paté de cerdo y pollo con trufa y arándanos Hacendado",52157,"Charcutería y quesos","Paté y sobrasada",1.85,1.85
"Mousse de pato Hacendado",52167,"Charcutería y quesos","Paté y sobrasada",1.9,1.9
"Foie gras entero de pato Hacendado",52170,"Charcutería y quesos","Paté y sobrasada",7.4,8.3
"Bloc foie gras de pato Hacendado",52171,"Charcutería y quesos","Paté y sobrasada",4.6,5.25
"Paté de cerdo sabor picante Hacendado",52179,"Charcutería y quesos","Paté y sobrasada",1.85,1.85
"Crema para untar de pollo Hacendado",52182,"Charcutería y quesos","Paté y sobrasada",2.05,1.99
"Sobrasada selecta L'Illa especialidades",53116,"Charcutería y quesos","Paté y sobrasada",1.85,1.85
"Sobrasada ibérica L'Illa especialidades",53122,"Charcutería y quesos","Paté y sobrasada",2.25,2.25
"Sobrasada de Mallorca Can Pere Joan",53160,"Charcutería y quesos","Paté y sobrasada",4.4,4.4
"Sobrasada con miel L'Illa especialidades",53146,"Charcutería y quesos","Paté y sobrasada",2.25,2.25
"Queso curado mezcla Hacendado cortado en cuñitas",50966,"Charcutería y quesos","Queso curado, semicurado y tierno",4.48,4.85
"Queso curado mezcla Hacendado",50965,"Charcutería y quesos","Queso curado, semicurado y tierno",4.3,4.71
"Queso curado mezcla Hacendado",50968,"Charcutería y quesos","Queso curado, semicurado y tierno",16.94,17.6
"Queso curado mezcla Hacendado",50967,"Charcutería y quesos","Queso curado, semicurado y tierno",11.11,11.63
"Queso grana padano Zanetti",50008,"Charcutería y quesos","Queso curado, semicurado y tierno",3.55,3.45
"Queso viejo tostado mezcla Hacendado",50971,"Charcutería y quesos","Queso curado, semicurado y tierno",5.37,5.43
"Queso viejo tostado mezcla Hacendado",50985,"Charcutería y quesos","Queso curado, semicurado y tierno",20.09,21.16
"Queso curado y cheddar Hacendado en dados",51111,"Charcutería y quesos","Queso curado, semicurado y tierno",1.05,1.05
"Queso viejo de oveja Hacendado",50984,"Charcutería y quesos","Queso curado, semicurado y tierno",17.59,21.64
"Queso viejo de oveja Hacendado",50970,"Charcutería y quesos","Queso curado, semicurado y tierno",5.02,6.1
"Queso añejo fuerte de oveja Hacendado",50975,"Charcutería y quesos","Queso curado, semicurado y tierno",5.98,5.59
"Queso viejo intenso mezcla Hacendado",50974,"Charcutería y quesos","Queso curado, semicurado y tierno",5.57,4.64
"Tabla de quesos nacionales Hacendado",50999,"Charcutería y quesos","Queso curado, semicurado y tierno",4.85,4.95
"Queso gruyère Natual",50025,"Charcutería y quesos","Queso curado, semicurado y tierno",3.08,3.08
"Queso viejo gouda Hacendado",50533,"Charcutería y quesos","Queso curado, semicurado y tierno",3.75,3.75
"Queso viejo ahumado de oveja Hacendado",50976,"Charcutería y quesos","Queso curado, semicurado y tierno",5.66,5.53
"Queso curado cheddar Hacendado",51630,"Charcutería y quesos","Queso curado, semicurado y tierno",3.15,3
"Queso curado DOP manchego de oveja Hacendado",50589,"Charcutería y quesos","Queso curado, semicurado y tierno",7.07,8.15
"Queso viejo cremoso de oveja Hacendado",50969,"Charcutería y quesos","Queso curado, semicurado y tierno",5.61,5.09
"Queso añejo mezcla con aceite de oliva Hacendado",50963,"Charcutería y quesos","Queso curado, semicurado y tierno",4.98,5.47
"Queso grana padano Hacendado en escamas",23037,"Charcutería y quesos","Queso curado, semicurado y tierno",2.6,2.58
"Queso añejo picante mezcla Hacendado",50972,"Charcutería y quesos","Queso curado, semicurado y tierno",5.35,6.31
"Queso añejo seco de oveja Hacendado",50973,"Charcutería y quesos","Queso curado, semicurado y tierno",5.15,5.95
"Queso semicurado mezcla Hacendado",50946,"Charcutería y quesos","Queso curado, semicurado y tierno",13.66,14.17
"Queso semicurado mezcla Hacendado",50945,"Charcutería y quesos","Queso curado, semicurado y tierno",10.38,10.8
"Queso semicurado mezcla Hacendado",50943,"Charcutería y quesos","Queso curado, semicurado y tierno",4.09,4.24
"Queso semicurado mezcla Hacendado cortado en cuñitas",50944,"Charcutería y quesos","Queso curado, semicurado y tierno",4.37,4.64
"Queso semicurado de cabra Hacendado",50942,"Charcutería y quesos","Queso curado, semicurado y tierno",5.55,5.66
"Queso semicurado sin lactosa mezcla Hacendado",50941,"Charcutería y quesos","Queso curado, semicurado y tierno",4.66,5.42
"Queso emmental de vaca Hacendado",23561,"Charcutería y quesos","Queso curado, semicurado y tierno",2.98,2.85
"Queso tierno de vaca Hacendado cortado en cuñitas",50916,"Charcutería y quesos","Queso curado, semicurado y tierno",2.83,2.5
"Queso tierno tronchón mezcla Montesinos",50020,"Charcutería y quesos","Queso curado, semicurado y tierno",3.14,3.07
"Queso tierno mezcla Hacendado",50919,"Charcutería y quesos","Queso curado, semicurado y tierno",9.93,10.37
"Queso tierno mezcla Hacendado",50917,"Charcutería y quesos","Queso curado, semicurado y tierno",3.02,3.15
"Queso tierno mezcla Hacendado cortado en cuñitas",50918,"Charcutería y quesos","Queso curado, semicurado y tierno",3.92,3.93
"Queso tierno bajo en sal mezcla Hacendado",50915,"Charcutería y quesos","Queso curado, semicurado y tierno",3.73,3.66
"Queso tierno maasdam de vaca Holland Corona",50480,"Charcutería y quesos","Queso curado, semicurado y tierno",3.51,3.25
"Queso tierno gouda de vaca Holland",50478,"Charcutería y quesos","Queso curado, semicurado y tierno",3.51,3.3
"Queso tierno bola Edam Holland Corona",50483,"Charcutería y quesos","Queso curado, semicurado y tierno",3.94,3.7
"Queso tierno de cabra Hacendado",50927,"Charcutería y quesos","Queso curado, semicurado y tierno",4.67,4.72
"Queso lonchas cremoso havarti de vaca Hacendado",50545,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.98,2.8
"Queso lonchas tierno mezcla Entrepinares",50385,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.29,2.39
"Queso light Havarti Hacendado lonchas",50546,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.98,2.8
"Queso lonchas semicurado mezcla Entrepinares",50148,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.4,2.47
"Queso lonchas fundido sándwich mezcla Hacendado",50371,"Charcutería y quesos","Queso lonchas, rallado y en porciones",1.25,1.2
"Queso lonchas light mezcla Entrepinares",50163,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.43,2.41
"Queso lonchas gouda de vaca Hacendado",50654,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.3,2.15
"Queso lonchas de cabra Entrepinares",50153,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.66,3.14
"Queso lonchas fundido suave mezcla Hacendado",51182,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.31,2.2
"Queso lonchas edam de vaca Holland Corona",50459,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.26,2
"Queso lonchas mozzarella de vaca Hacendado",51126,"Charcutería y quesos","Queso lonchas, rallado y en porciones",1.83,1.78
"Queso lonchas cheddar de vaca Hacendado",55017,"Charcutería y quesos","Queso lonchas, rallado y en porciones",1.92,1.75
"Queso lonchas emmental de vaca Hacendado",60710,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.16,2.05
"Queso lonchas sin lactosa de vaca Hacendado",50139,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.02,1.92
"Queso lonchas de oveja Entrepinares",50151,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.49,2.99
"Queso lonchas semicurado gouda de vaca Holland Corona",50471,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.79,2.65
"Queso lonchas fundido burger mezcla Hacendado",51198,"Charcutería y quesos","Queso lonchas, rallado y en porciones",1.89,1.75
"Queso lonchas fundido light Hacendado",51199,"Charcutería y quesos","Queso lonchas, rallado y en porciones",1.89,1.8
"Queso lonchas raclette de vaca Entremont",50614,"Charcutería y quesos","Queso lonchas, rallado y en porciones",4.62,4.62
"Queso rallado emmental gratinar de vaca Hacendado",51239,"Charcutería y quesos","Queso lonchas, rallado y en porciones",1.73,1.63
"Queso rallado mozzarella pizza-Roma de vaca Hacendado",51110,"Charcutería y quesos","Queso lonchas, rallado y en porciones",1.59,1.54
"Queso en polvo especial pasta mezcla Hacendado",51151,"Charcutería y quesos","Queso lonchas, rallado y en porciones",1.49,1.25
"Queso rallado 4 quesos Hacendado",51237,"Charcutería y quesos","Queso lonchas, rallado y en porciones",1.88,1.65
"Queso en polvo grana padano Hacendado",51146,"Charcutería y quesos","Queso lonchas, rallado y en porciones",1.73,1.6
"Queso rallado especial fundir mezcla Hacendado",23622,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.25,2.05
"Queso rallado especial fundir mezcla Hacendado",23621,"Charcutería y quesos","Queso lonchas, rallado y en porciones",1.35,1.25
"Queso rallado sin lactosa de vaca Hacendado",51105,"Charcutería y quesos","Queso lonchas, rallado y en porciones",1.88,1.63
"Queso rallado gouda de vaca Hacendado",52412,"Charcutería y quesos","Queso lonchas, rallado y en porciones",1.59,1.44
"Queso en porciones Hacendado",52405,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.26,2
"Queso en porciones sin lactosa Hacendado",51233,"Charcutería y quesos","Queso lonchas, rallado y en porciones",1.79,1.74
"Queso en porciones light Hacendado",51232,"Charcutería y quesos","Queso lonchas, rallado y en porciones",1.59,1.49
"Queso en porciones mini Babybel",51504,"Charcutería y quesos","Queso lonchas, rallado y en porciones",3.41,3.41
"Queso fundido con palitos La vaca que ríe",51068,"Charcutería y quesos","Queso lonchas, rallado y en porciones",2.39,2.39
"Queso untar suave de vaca Hacendado",51203,"Charcutería y quesos","Queso untable y fresco",1.39,1.29
"Queso untar original Philadelphia",51073,"Charcutería y quesos","Queso untable y fresco",2.74,2.74
"Queso brie marcillat de vaca Plaisir de Roy",50619,"Charcutería y quesos","Queso untable y fresco",1.63,1.6
"Queso untar light Philadelphia",51079,"Charcutería y quesos","Queso untable y fresco",2.74,2.74
"Queso untar light de vaca Hacendado",51223,"Charcutería y quesos","Queso untable y fresco",1.39,1.29
"Crema de queso Camembert Hacendado",51181,"Charcutería y quesos","Queso untable y fresco",1.59,1.59
"Queso fresco mascarpone de vaca Hacendado",51072,"Charcutería y quesos","Queso untable y fresco",2.64,2.55
"Mousse de queso de vaca con ajo y finas hierbas Hacendado",51167,"Charcutería y quesos","Queso untable y fresco",1.3,1.3
"Queso untar de vaca con finas hierbas Hacendado",51208,"Charcutería y quesos","Queso untable y fresco",1.54,1.54
"Crema de queso suave Hacendado",51132,"Charcutería y quesos","Queso untable y fresco",1.15,1.15
"Queso untar con queso azul de vaca Hacendado",51211,"Charcutería y quesos","Queso untable y fresco",1.68,1.68
"Queso untar sin lactosa Hacendado",51212,"Charcutería y quesos","Queso untable y fresco",1.68,1.68
"Crema de queso viejo tostado mezcla Hacendado",22780,"Charcutería y quesos","Queso untable y fresco",1.68,1.68
"Queso fresco Burgos natural de vaca Hacendado",51184,"Charcutería y quesos","Queso untable y fresco",1.88,1.78
"Queso fresco Burgos natural de vaca Hacendado",51026,"Charcutería y quesos","Queso untable y fresco",1.63,1.56
"Mozzarella fresca de vaca Hacendado",51050,"Charcutería y quesos","Queso untable y fresco",1.01,0.95
"Queso fresco Burgos desnatado 0% m.g de vaca Hacendado",51074,"Charcutería y quesos","Queso untable y fresco",1.63,1.56
"Queso feta mezcla Hacendado en dados",51197,"Charcutería y quesos","Queso untable y fresco",2.35,2.35
"Queso fresco de vaca Burgo de Arias",51044,"Charcutería y quesos","Queso untable y fresco",2.88,2.99
"Mozzarella fresca de vaca Hacendado en perlas",51052,"Charcutería y quesos","Queso untable y fresco",1.97,1.91
"Queso fresco de cabra Hacendado",51194,"Charcutería y quesos","Queso untable y fresco",2.6,2.77
"Queso fresco batido desnatado 0% m.g Hacendado",51071,"Charcutería y quesos","Queso untable y fresco",1.01,0.97
"Queso fresco para ensaladas de vaca Hacendado en dados",51065,"Charcutería y quesos","Queso untable y fresco",2.02,1.95
"Queso fresco de vaca Hacendado",51191,"Charcutería y quesos","Queso untable y fresco",1.73,1.65
"Queso fresco batido desnatado 0% m.g Hacendado",51021,"Charcutería y quesos","Queso untable y fresco",1.49,1.45
"Mozzarella fresca di bufala campana Hacendado",51201,"Charcutería y quesos","Queso untable y fresco",1.73,1.73
"Queso fresco light de vaca Hacendado",51192,"Charcutería y quesos","Queso untable y fresco",2.21,2.12
"Queso fresco 0% m.g de vaca Burgo de Arias",51043,"Charcutería y quesos","Queso untable y fresco",2.88,2.99
"Requesón mezcla Montesinos",51012,"Charcutería y quesos","Queso untable y fresco",1,1
"Queso fresco Burgos sin lactosa de vaca Hacendado",51130,"Charcutería y quesos","Queso untable y fresco",1.73,1.68
"Queso fresco Burgos bajo en sal de vaca Hacendado",51046,"Charcutería y quesos","Queso untable y fresco",1.44,1.39
"Queso fresco Mató de vaca Hacendado",51222,"Charcutería y quesos","Queso untable y fresco",1.49,1.45
"Queso fresco sin lactosa de vaca Hacendado",51193,"Charcutería y quesos","Queso untable y fresco",2.4,2.4
"Queso ricotta mezcla Hacendado",51228,"Charcutería y quesos","Queso untable y fresco",1.8,1.8
"Mozzarella fresca light de vaca Hacendado",51230,"Charcutería y quesos","Queso untable y fresco",1.06,1.04
"Burrata fresca Hacendado",51218,"Charcutería y quesos","Queso untable y fresco",2.31,2.2
"Queso fresco cottage semidesnatado de vaca Hacendado",60963,"Charcutería y quesos","Queso untable y fresco",1.3,1.2
"Queso rulo de cabra Hacendado",50021,"Charcutería y quesos","Queso untable y fresco",2.26,2.4
"Queso roquefort de oveja Hacendado",86276,"Charcutería y quesos","Queso untable y fresco",1.69,1.75
"Queso camembert de vaca Marcillat",51621,"Charcutería y quesos","Queso untable y fresco",1.83,1.83
"Queso azul Danés Danablu de vaca Viking",51641,"Charcutería y quesos","Queso untable y fresco",1.59,1.5
"Queso azul de vaca Hacendado",51627,"Charcutería y quesos","Queso untable y fresco",2.21,2.1
"Queso de cabra Président en medallones",51149,"Charcutería y quesos","Queso untable y fresco",3.32,3.32
"Queso de cabra Montesinos",50633,"Charcutería y quesos","Queso untable y fresco",3.03,3.17
"Queso rulo con piña y almendra Liptana",51619,"Charcutería y quesos","Queso untable y fresco",1.25,1.39
"Crepes Hacendado ultracongelados",63528,Congelados,"Tartas y churros",2.5,2.45
"Gambón congelado",24147,"Marisco y pescado",Marisco,1.64,1.49
"Gambón congelado",24147,"Marisco y pescado",Marisco,1.64,1.49
"Gambón grande congelado",24260,"Marisco y pescado",Marisco,19.9,19.9
"Gambón grande congelado",24260,"Marisco y pescado",Marisco,19.9,19.9
"Alistado pequeño congelado",24708,"Marisco y pescado",Marisco,2.48,2.18
"Alistado pequeño congelado",24708,"Marisco y pescado",Marisco,2.48,2.18
"Alistado pequeño Hacendado congelado",24707,"Marisco y pescado",Marisco,15.5,13.5
"Alistado pequeño Hacendado congelado",24707,"Marisco y pescado",Marisco,15.5,13.5
"Gamba arrocera Hacendado congelada",24701,"Marisco y pescado",Marisco,1.94,2.24
"Gamba arrocera Hacendado congelada",24701,"Marisco y pescado",Marisco,1.94,2.24
"Gamba blanca pequeña Hacendado congelada",24700,"Marisco y pescado",Marisco,11.95,13.95
"Gamba blanca pequeña Hacendado congelada",24700,"Marisco y pescado",Marisco,11.95,13.95
"Gamba blanca cocida Hacendado ultracongelada",24278,"Marisco y pescado",Marisco,5.3,5.55
"Gamba blanca cocida Hacendado ultracongelada",24278,"Marisco y pescado",Marisco,5.3,5.55
"Langostino cocido y pelado Hacendado ultracongelado",24477,"Marisco y pescado",Marisco,4.75,4.75
"Langostino cocido y pelado Hacendado ultracongelado",24477,"Marisco y pescado",Marisco,4.75,4.75
"Gamba pelada cruda tamaño mediano Hacendado ultracongelada",24181,"Marisco y pescado",Marisco,5.1,4.95
"Gamba pelada cruda tamaño mediano Hacendado ultracongelada",24181,"Marisco y pescado",Marisco,5.1,4.95
"Langostino crudo y pelado Hacendado ultracongelado",24486,"Marisco y pescado",Marisco,3.95,3.95
"Langostino crudo y pelado Hacendado ultracongelado",24486,"Marisco y pescado",Marisco,3.95,3.95
"Camarón boreal cocido y pelado Royal Greenland ultracongelado",24267,"Marisco y pescado",Marisco,4.25,4.25
"Camarón boreal cocido y pelado Royal Greenland ultracongelado",24267,"Marisco y pescado",Marisco,4.25,4.25
"Gamba pelada cruda tamaño grande Hacendado ultracongelada",24230,"Marisco y pescado",Marisco,5.95,5.95
"Gamba pelada cruda tamaño grande Hacendado ultracongelada",24230,"Marisco y pescado",Marisco,5.95,5.95
"Colas de gambón crudo Hacendado congelado",24102,"Marisco y pescado",Marisco,6.55,6.55
"Colas de gambón crudo Hacendado congelado",24102,"Marisco y pescado",Marisco,6.55,6.55
"Cigala mediana Hacendado ultracongelada",24032,"Marisco y pescado",Marisco,10.65,10.65
"Cigala mediana Hacendado ultracongelada",24032,"Marisco y pescado",Marisco,10.65,10.65
"Bocas de cangrejo pequeñas congeladas",24487,"Marisco y pescado",Marisco,2.97,2.97
"Bocas de cangrejo pequeñas congeladas",24487,"Marisco y pescado",Marisco,2.97,2.97
"Bocas de cangrejo pequeñas Hacendado congeladas",24387,"Marisco y pescado",Marisco,8.95,8.95
"Bocas de cangrejo pequeñas Hacendado congeladas",24387,"Marisco y pescado",Marisco,8.95,8.95
"Nécora cocida Hacendado congelada",24120,"Marisco y pescado",Marisco,6.15,6.15
"Nécora cocida Hacendado congelada",24120,"Marisco y pescado",Marisco,6.15,6.15
"Palitos de surimi Hacendado ultracongelados",62403,"Marisco y pescado",Marisco,2.35,2.35
"Palitos de surimi Hacendado ultracongelados",62403,"Marisco y pescado",Marisco,2.35,2.35
"Carne de mejillón de Chile cocido Hacendado ultracongelado",62396,"Marisco y pescado",Marisco,2.45,2.45
"Carne de mejillón de Chile cocido Hacendado ultracongelado",62396,"Marisco y pescado",Marisco,2.45,2.45
"Mejillón de Chile entero cocido Hacendado ultracongelado",62401,"Marisco y pescado",Marisco,3.25,3.25
"Mejillón de Chile entero cocido Hacendado ultracongelado",62401,"Marisco y pescado",Marisco,3.25,3.25
"Rodaja de emperador Hacendado ultracongelado",24345,"Marisco y pescado","Pescado congelado",3.18,3.18
"Rodaja de emperador Hacendado ultracongelado",24345,"Marisco y pescado","Pescado congelado",3.18,3.18
"Filetes de bacalao Maredeus ultracongelado",24016,"Marisco y pescado","Pescado congelado",5.25,5.5
"Filetes de bacalao Maredeus ultracongelado",24016,"Marisco y pescado","Pescado congelado",5.25,5.5
"Medallones de merluza Hacendado ultracongelados",62131,"Marisco y pescado","Pescado congelado",3.5,4.5
"Medallones de merluza Hacendado ultracongelados",62131,"Marisco y pescado","Pescado congelado",3.5,4.5
"Filete de salmón rosado salvaje con piel Hacendado ultracongelado",24350,"Marisco y pescado","Pescado congelado",4.18,3.58
"Filete de salmón rosado salvaje con piel Hacendado ultracongelado",24350,"Marisco y pescado","Pescado congelado",4.18,3.58
"Rodajas de merluza del cabo Hacendado ultracongeladas",62121,"Marisco y pescado","Pescado congelado",4.2,5
"Rodajas de merluza del cabo Hacendado ultracongeladas",62121,"Marisco y pescado","Pescado congelado",4.2,5
"Filetes de panga Hacendado ultracongelados",62191,"Marisco y pescado","Pescado congelado",5.15,4.95
"Filetes de panga Hacendado ultracongelados",62191,"Marisco y pescado","Pescado congelado",5.15,4.95
"Anguriñas de surimi Hacendado ultracongeladas",62499,"Marisco y pescado","Pescado congelado",2.3,2.3
"Rodaja de potón del Pacífico cocido Hacendado congelado",24234,Congelados,Pescado,5.65,6.05
"Rodaja de tintorera sin piel Hacendado ultracongelada",24383,Congelados,Pescado,2.68,3.13
"Rodaja de tintorera sin piel Hacendado ultracongelada",24383,Congelados,Pescado,2.68,3.13
"Porciones de merluza del cabo sin piel Hacendado ultracongeladas",62103,Congelados,Pescado,4.1,4.6
"Porciones de merluza del cabo sin piel Hacendado ultracongeladas",62103,Congelados,Pescado,4.1,4.6
"Sepia limpia pequeña Hacendado congelada",24206,Congelados,Pescado,4,4
"Sepia limpia pequeña Hacendado congelada",24206,Congelados,Pescado,4,4
"Tacos de bacalao MareDeus ultracongelado",24024,Congelados,Pescado,4.95,4.95
"Pescadilla de merluza sin cabeza Hacendado ultracongelada",62176,Congelados,Pescado,5,5
"Pescadilla de merluza sin cabeza Hacendado ultracongelada",62176,Congelados,Pescado,5,5
"Cola de rape del cabo Hacendado ultracongelada",24340,Congelados,Pescado,7.98,8.48
"Cola de rape del cabo Hacendado ultracongelada",24340,Congelados,Pescado,7.98,8.48
"Tiras de potón Hacendado congeladas",24341,Congelados,Pescado,4.35,4.45
"Tiras de potón Hacendado congeladas",24341,Congelados,Pescado,4.35,4.45
"Tinta de sepia Nortindal congelada",24256,Congelados,Pescado,2.05,2.05
"Tinta de sepia Nortindal congelada",24256,Congelados,Pescado,2.05,2.05
"Filetes de merluza del cabo grandes sin piel Hacendado ultracongelados",62179,Congelados,Pescado,8.95,9.9
"Filetes de merluza del cabo grandes sin piel Hacendado ultracongelados",62179,Congelados,Pescado,8.95,9.9
"Filete de fletán negro Hacendado congelado",24344,Congelados,Pescado,3.1,3.6
"Filete de fletán negro Hacendado congelado",24344,Congelados,Pescado,3.1,3.6
"Merluza del cabo sin cabeza Hacendado ultracongelada",24324,Congelados,Pescado,4.34,4.86
"Merluza del cabo sin cabeza Hacendado ultracongelada",24324,Congelados,Pescado,4.34,4.86
"Anillas de pota Hacendado congeladas",24249,Congelados,Pescado,4.95,5.15
"Anillas de pota Hacendado congeladas",24249,Congelados,Pescado,4.95,5.15
"Pulpo crudo Hacendado congelado",24208,Congelados,Pescado,17.95,17.95
"Pulpo crudo Hacendado congelado",24208,Congelados,Pescado,17.95,17.95
"Chipirón puntilla Hacendado congelado",24291,Congelados,Pescado,4.5,4.7
"Chipirón puntilla Hacendado congelado",24291,Congelados,Pescado,4.5,4.7
"Lomos de salmón sin piel y sin espinas Hacendado congelado",24511,Congelados,Pescado,6.35,6.5
"Lomos de salmón sin piel y sin espinas Hacendado congelado",24511,Congelados,Pescado,6.35,6.5
"Migas de bacalao sin espinas y sin piel MareDeus ultra congeladas",24023,Congelados,Pescado,3.85,3.85
"Migas de bacalao sin espinas y sin piel MareDeus ultra congeladas",24023,Congelados,Pescado,3.85,3.85
"Gallos sin cabeza Hacendado ultracongelado",62000,Congelados,Pescado,6.25,6.25
"Gallos sin cabeza Hacendado ultracongelado",62000,Congelados,Pescado,6.25,6.25
"Rodajas de atún de aleta amarilla Hacendado congelado",24357,Congelados,Pescado,4.24,4.19
"Rodajas de atún de aleta amarilla Hacendado congelado",24357,Congelados,Pescado,4.24,4.19
"Calamar grande Hacendado congelado",24417,Congelados,Pescado,3.19,3.19
"Calamar grande Hacendado congelado",24417,Congelados,Pescado,3.19,3.19
"Croquetas de merluza Hacendado ultracongelados",60954,Congelados,Pescado,2.7,2.45
"Croquetas de merluza Hacendado ultracongelados",60954,Congelados,Pescado,2.7,2.45
"Pizzas tomate y queso Hacendado ultracongeladas",63597,Congelados,Pizzas,2.55,2.4
"Pizzas tomate y queso Hacendado ultracongeladas",63597,Congelados,Pizzas,2.55,2.4
