product~product_type~product_volume~product_price_per_unit~product_price~product_unit~product_category~product_subcategory~product_url~product_code~collected_timestamp
Sal marina en escamas Polasal~Bote~125 g~| 15,60 €/kg~1.95~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19740/sal-marina-escamas-polasal-bote~19740~2023-03-11 21:46:54.125388
Sal gruesa para hornear Hacendado~Paquete~2 kg~| 0,475 €/kg~0.95~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19734/sal-gruesa-hornear-hacendado-paquete~19734~2023-03-11 21:46:54.809357
Sal de ajo Hacendado~Bote~130 g~| 13,462 €/kg~1.75~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/34130/sal-ajo-hacendado-bote~34130~2023-03-11 21:46:55.473673
Sal de frutas sabor limón Hacendado~Bote~250 g~| 8,00 €/kg~2.0~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/29016/sal-frutas-sabor-limon-hacendado-bote~29016~2023-03-11 21:46:56.137469
Sal 60% menos de sodio Hacendado~Bote~250 g~| 8,40 €/kg~2.1~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19713/sal-60-menos-sodio-hacendado-bote~19713~2023-03-11 21:46:56.819358
Preparado para salmón ahumado Hacendado~Bote~750 g~| 4,40 €/kg~3.3~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19726/preparado-salmon-ahumado-hacendado-bote~19726~2023-03-11 21:46:57.468658
Sal rosa del Himalaya Hacendado~Bote~250 g~| 7,20 €/kg~1.8~/ud.~Aceite, especias y salsas >~Aceite, vinagre y sal~https://tienda.mercadona.es/product/19701/sal-rosa-himalaya-hacendado-bote~19701~2023-03-11 21:46:58.166929
Orégano Hacendado~Bote~18 g~| 3,612 €/100 g~0.65~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34180/oregano-hacendado-bote~34180~2023-03-11 21:59:00.626684
Perejil Hacendado~Bote~14 g~| 5,358 €/100 g~0.75~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/22843/perejil-hacendado-bote~22843~2023-03-11 21:59:01.308590
Hoja de laurel Hacendado~Paquete~12 g~| 6,667 €/100 g~0.8~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/19431/hoja-laurel-hacendado-paquete~19431~2023-03-11 21:59:01.828491
Hierbas provenzales Hacendado~Bote~25 g~| 4,40 €/100 g~1.1~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34131/hierbas-provenzales-hacendado-bote~34131~2023-03-11 21:59:02.417760
Albahaca Hacendado~Bote~20 g~| 6,25 €/100 g~1.25~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34128/albahaca-hacendado-bote~34128~2023-03-11 21:59:02.963067
Romero Hacendado~Bote~40 g~| 3,25 €/100 g~1.3~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34175/romero-hacendado-bote~34175~2023-03-11 21:59:03.512664
Tomillo Hacendado~Bote~28 g~| 3,75 €/100 g~1.05~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34174/tomillo-hacendado-bote~34174~2023-03-11 21:59:04.052433
Eneldo hojas Hacendado~Bote~22 g~| 8,41 €/100 g~1.85~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34136/eneldo-hojas-hacendado-bote~34136~2023-03-11 21:59:04.588501
Cilantro Hacendado~Bote~12 g~| 15,417 €/100 g~1.85~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34721/cilantro-hacendado-bote~34721~2023-03-11 21:59:05.171138
Ajo y Perejil Hacendado~Bote~74 g~| 17,568 €/kg~1.3~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/60873/ajo-perejil-hacendado-bote~60873~2023-03-11 21:59:05.740846
Colorante alimentario Hacendado~Bote~85 g~| 10,00 €/kg~0.85~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34182/colorante-alimentario-hacendado-bote~34182~2023-03-11 21:59:06.311391
Pimentón dulce Hacendado~Bote~56 g~| 16,072 €/kg~0.9~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34184/pimenton-dulce-hacendado-bote~34184~2023-03-11 21:59:06.954895
Pimentón dulce Hacendado~Bote~75 g~| 18,667 €/kg~1.4~/ud.~Aceite, especias y salsas >~Especias~https://tienda.mercadona.es/product/34186/pimenton-dulce-hacendado-bote~34186~2023-03-11 21:59:07.559659
