product_code,description,category,subcategory
17151.0,Tomate frito Hacendado,"Aceite, especias y salsas",Otras salsas
17108.0,Tomate frito Hacendado,"Aceite, especias y salsas",Otras salsas
17163.0,Tomate frito receta artesana Hacendado,"Aceite, especias y salsas",Otras salsas
17131.0,Tomate frito receta artesana Hacendado,"Aceite, especias y salsas",Otras salsas
17153.0,Tomate frito estilo casero Hacendado,"Aceite, especias y salsas",Otras salsas
17128.0,Tomate frito Hacendado con aceite de oliva,"Aceite, especias y salsas",Otras salsas
17330.0,Tomate frito sin azúcares añadidos Hacendado,"Aceite, especias y salsas",Otras salsas
17154.0,Tomate frito con cebolla Hacendado,"Aceite, especias y salsas",Otras salsas
17346.0,Salsa barbacoa Hacendado,"Aceite, especias y salsas",Otras salsas
17502.0,Salsa pimienta verde Hacendado,"Aceite, especias y salsas",Otras salsas
17347.0,Salsa burger Hacendado,"Aceite, especias y salsas",Otras salsas
35780.0,Salsa estilo argentino Hacendado,"Aceite, especias y salsas",Otras salsas
17396.0,Salsa Piri Piri Hacendado,"Aceite, especias y salsas",Otras salsas
35438.0,Salsa pesto con albahaca Hacendado,"Aceite, especias y salsas",Otras salsas
35545.0,Salsa de tomate boloñesa Hacendado,"Aceite, especias y salsas",Otras salsas
35546.0,Salsa de tomate Basilico con albahaca Hacendado,"Aceite, especias y salsas",Otras salsas
17410.0,Salsa fresca Trufa Hacendado,"Aceite, especias y salsas",Otras salsas
17409.0,Salsa fresca Queso Hacendado,"Aceite, especias y salsas",Otras salsas
35186.0,Salsa fresca Pesto con albahaca Hacendado,"Aceite, especias y salsas",Otras salsas
35184.0,Salsa fresca Setas,"Aceite, especias y salsas",Otras salsas
35183.0,Salsa fresca Carbonara Hacendado,"Aceite, especias y salsas",Otras salsas
17360.0,Salsa de soja Hacendado,"Aceite, especias y salsas",Otras salsas
17362.0,Salsa teriyaki Hacendado,"Aceite, especias y salsas",Otras salsas
22721.0,Salsa agridulce Salsas Asturianas,"Aceite, especias y salsas",Otras salsas
22613.0,Salsa thai chili dulce J-Lek,"Aceite, especias y salsas",Otras salsas
17382.0,Salsa de soja sin gluten Hacendado,"Aceite, especias y salsas",Otras salsas
3840.0,Guacamole Hacendado,"Aceite, especias y salsas",Otras salsas
3852.0,Guacamole Hacendado,"Aceite, especias y salsas",Otras salsas
17327.0,Salsa yogur Hacendado,"Aceite, especias y salsas",Otras salsas
16827.0,Salsa mexicana Hacendado,"Aceite, especias y salsas",Otras salsas
17386.0,Salsa Ranch Hacendado,"Aceite, especias y salsas",Otras salsas
17366.0,Salsa césar Hacendado,"Aceite, especias y salsas",Otras salsas
17265.0,"Aliño de aceite, ajo y perejil Hacendado","Aceite, especias y salsas",Otras salsas
52467.0,Salsa miel y mostaza Hacendado,"Aceite, especias y salsas",Otras salsas
17259.0,Salsa de trufas,"Aceite, especias y salsas",Otras salsas
17348.0,Salsa gajos rústica Hacendado,"Aceite, especias y salsas",Otras salsas
35344.0,Salsa de queso Hacendado,"Aceite, especias y salsas",Otras salsas
23137.0,Chili con carne Hacendado,"Aceite, especias y salsas",Otras salsas
86713.0,Salsa bechamel Knorr,"Aceite, especias y salsas",Otras salsas
7307.0,Extracto original de buey Bovril,"Aceite, especias y salsas",Otras salsas
23072.0,Salsa cocktail Hacendado,"Aceite, especias y salsas",Otras salsas
17290.0,Salsa romesco Ferrer,"Aceite, especias y salsas",Otras salsas
17291.0,Salsa calçots Ferrer,"Aceite, especias y salsas",Otras salsas
17441.0,Pasta de sésamo Tahini Hacendado,"Aceite, especias y salsas",Otras salsas
35163.0,Salsa brava Hacendado,"Aceite, especias y salsas",Otras salsas
28039.0,Agua mineral grande Font Agudes,Agua y refrescos,Agua
27335.0,Agua mineral grande Font Agudes,Agua y refrescos,Agua
26992.0,Agua mineral grande Font Agudes,Agua y refrescos,Agua
26993.0,Agua mineral grande Font Agudes,Agua y refrescos,Agua
28572.0,Agua mineral mediana Font Agudes,Agua y refrescos,Agua
28573.0,Agua mineral mediana Font Agudes,Agua y refrescos,Agua
27062.0,Agua mineral pequeña Font Agudes,Agua y refrescos,Agua
27514.0,Agua mineral pequeña Font Agudes,Agua y refrescos,Agua
27576.0,Agua mineral pequeña Font Agudes tapón infantil,Agua y refrescos,Agua
27575.0,Agua mineral pequeña Font Agudes tapón infantil,Agua y refrescos,Agua
28035.0,Agua mineral grande Bronchales,Agua y refrescos,Agua
23448.0,Agua mineral grande Bronchales,Agua y refrescos,Agua
23449.0,Agua mineral grande Bronchales,Agua y refrescos,Agua
28491.0,Agua mineral mediana Bronchales,Agua y refrescos,Agua
28499.0,Agua mineral mediana Bronchales,Agua y refrescos,Agua
27061.0,Agua mineral pequeña Bronchales,Agua y refrescos,Agua
27054.0,Agua mineral pequeña Bronchales,Agua y refrescos,Agua
28566.0,Agua mineral pequeña Bronchales tapón infantil,Agua y refrescos,Agua
28567.0,Agua mineral pequeña Bronchales tapón infantil,Agua y refrescos,Agua
27314.0,Agua mineral grande Bezoya,Agua y refrescos,Agua
27230.0,Agua mineral grande Bezoya,Agua y refrescos,Agua
27292.0,Agua mineral grande Ribes,Agua y refrescos,Agua
27155.0,Agua mineral grande Ribes,Agua y refrescos,Agua
27038.0,Agua mineral grande Ribes,Agua y refrescos,Agua
27099.0,Agua mineral grande Nestlé Aquarel,Agua y refrescos,Agua
27232.0,Agua mineral grande Nestlé Aquarel,Agua y refrescos,Agua
27350.0,Agua mineral grande Font Vella,Agua y refrescos,Agua
27204.0,Agua mineral grande Font Vella,Agua y refrescos,Agua
27327.0,Agua mineral grande Solán de Cabras,Agua y refrescos,Agua
27356.0,Agua mineral grande Solán de Cabras,Agua y refrescos,Agua
27253.0,Agua mineral grande Viladrau,Agua y refrescos,Agua
27221.0,Agua mineral grande Viladrau,Agua y refrescos,Agua
28198.0,Agua de coco Chaokoh 100% natural,Agua y refrescos,Agua
27213.0,Agua mineral con gas grande Vichy Catalan,Agua y refrescos,Agua
28185.0,Agua mineral con gas pequeña Vichy Catalan,Agua y refrescos,Agua
27366.0,Agua mineral con gas grande Cortes,Agua y refrescos,Agua
27367.0,Agua mineral con gas grande Cortes,Agua y refrescos,Agua
27368.0,Agua mineral con gas pequeña Cortes,Agua y refrescos,Agua
27369.0,Agua mineral con gas pequeña Cortes,Agua y refrescos,Agua
27084.0,Agua mineral con gas grande San Narciso,Agua y refrescos,Agua
27894.0,Agua mineral con gas grande San Pellegrino,Agua y refrescos,Agua
27893.0,Agua mineral con gas grande San Pellegrino,Agua y refrescos,Agua
27203.0,Agua de soda con sifón La Casa,Agua y refrescos,Agua
27598.0,Agua mineral con gas grande Fonter,Agua y refrescos,Agua
27597.0,Agua mineral con gas grande Fonter,Agua y refrescos,Agua
27973.0,Gaseosa Hacendado grande,Agua y refrescos,Agua
27972.0,Gaseosa Hacendado pequeña,Agua y refrescos,Agua
27971.0,Gaseosa Hacendado pequeña,Agua y refrescos,Agua
27733.0,Gaseosa La Casera grande,Agua y refrescos,Agua
27735.0,Gaseosa La Casera grande,Agua y refrescos,Agua
29608.0,Bebida isotónica limón Aquarius,Agua y refrescos,Isotónico y energético
29605.0,Bebida isotónica limón Aquarius,Agua y refrescos,Isotónico y energético
29625.0,Bebida isotónica limón Aquarius,Agua y refrescos,Isotónico y energético
28576.0,Bebida isotónica sabor cítrico Iso drink,Agua y refrescos,Isotónico y energético
28575.0,Bebida isotónica sabor cítrico Iso drink,Agua y refrescos,Isotónico y energético
28574.0,Bebida isotónica sabor cítrico Iso drink,Agua y refrescos,Isotónico y energético
29609.0,Bebida isotónica naranja Aquarius,Agua y refrescos,Isotónico y energético
29604.0,Bebida isotónica naranja Aquarius,Agua y refrescos,Isotónico y energético
29624.0,Bebida isotónica naranja Aquarius,Agua y refrescos,Isotónico y energético
29612.0,Bebida isotónica limón Aquarius zero azúcar,Agua y refrescos,Isotónico y energético
28688.0,Bebida isotónica de naranja Iso drink,Agua y refrescos,Isotónico y energético
28690.0,Bebida isotónica de naranja Iso drink,Agua y refrescos,Isotónico y energético
28689.0,Bebida isotónica de naranja Iso drink,Agua y refrescos,Isotónico y energético
29410.0,Bebida isotónica Iso On blue Hacendado,Agua y refrescos,Isotónico y energético
29080.0,Bebida isotónica Iso On blue Hacendado,Agua y refrescos,Isotónico y energético
27491.0,Bebida isotónica azul Powerade,Agua y refrescos,Isotónico y energético
5564.0,Bebida energética Energy Drink Zero Hacendado,Agua y refrescos,Isotónico y energético
27944.0,Bebida energética Zero Hacendado,Agua y refrescos,Isotónico y energético
28670.0,Bebida energética Energy Ultra zero Monster,Agua y refrescos,Isotónico y energético
28119.0,Bebida energética Energy Ultra zero Monster,Agua y refrescos,Isotónico y energético
28664.0,Bebida energética energy Monster,Agua y refrescos,Isotónico y energético
28016.0,Bebida energética Energy Monster,Agua y refrescos,Isotónico y energético
28266.0,Bebida energética Energy Drink Hacendado,Agua y refrescos,Isotónico y energético
28263.0,Bebida energética Energy Drink Hacendado,Agua y refrescos,Isotónico y energético
28264.0,Bebida energética Energy Drink Hacendado,Agua y refrescos,Isotónico y energético
29378.0,Bebida energética Red Bull,Agua y refrescos,Isotónico y energético
27905.0,Bebida energética Red Bull,Agua y refrescos,Isotónico y energético
29365.0,Bebida energética original Burn,Agua y refrescos,Isotónico y energético
27913.0,Bebida energética original Burn,Agua y refrescos,Isotónico y energético
28116.0,Gel energético con cafeína Enervit Sport sabor cítricos,Agua y refrescos,Isotónico y energético
13815.0,Bebida energética Mango Loco Monster,Agua y refrescos,Isotónico y energético
13814.0,Bebida energética Mango Loco Monster,Agua y refrescos,Isotónico y energético
40322.0,Bebida energética Furious Energy drink,Agua y refrescos,Isotónico y energético
40323.0,Bebida energética Tropic Energy drink,Agua y refrescos,Isotónico y energético
52920.0,Malta Maltín Polar,Agua y refrescos,Isotónico y energético
52921.0,Malta Maltín Polar,Agua y refrescos,Isotónico y energético
60602.0,Bebida energética zero Watermelon Energy drink,Agua y refrescos,Isotónico y energético
27348.0,Refresco Coca-Cola,Agua y refrescos,Refresco de cola
27342.0,Refresco Coca-Cola,Agua y refrescos,Refresco de cola
28181.0,Refresco Coca-Cola,Agua y refrescos,Refresco de cola
28113.0,Refresco Coca-Cola,Agua y refrescos,Refresco de cola
29360.0,Refresco Coca-Cola,Agua y refrescos,Refresco de cola
27321.0,Refresco Coca-Cola,Agua y refrescos,Refresco de cola
27326.0,Refresco Coca-Cola,Agua y refrescos,Refresco de cola
29072.0,Refresco cola Hacendado,Agua y refrescos,Refresco de cola
29031.0,Refresco cola Hacendado,Agua y refrescos,Refresco de cola
29032.0,Refresco cola Hacendado,Agua y refrescos,Refresco de cola
23894.0,Refresco cola Pepsi,Agua y refrescos,Refresco de cola
27426.0,Refresco Coca-Cola Zero azúcar,Agua y refrescos,Refresco de cola
27414.0,Refresco Coca-Cola Zero azúcar,Agua y refrescos,Refresco de cola
27449.0,Refresco Coca-Cola Zero azúcar,Agua y refrescos,Refresco de cola
27445.0,Refresco Coca-Cola Zero azúcar,Agua y refrescos,Refresco de cola
13816.0,Refresco Coca-Cola Zero azúcar,Agua y refrescos,Refresco de cola
28115.0,Refresco Coca-Cola Zero azúcar,Agua y refrescos,Refresco de cola
29361.0,Refresco Coca-Cola Zero azúcar,Agua y refrescos,Refresco de cola
27184.0,Refresco Coca-Cola light,Agua y refrescos,Refresco de cola
27406.0,Refresco Coca-Cola light,Agua y refrescos,Refresco de cola
26997.0,Refresco Coca-Cola Zero Zero,Agua y refrescos,Refresco de cola
27559.0,Refresco Coca-Cola Zero Zero,Agua y refrescos,Refresco de cola
28180.0,Refresco Coca-Cola Zero Zero,Agua y refrescos,Refresco de cola
27462.0,Refresco Coca-Cola Zero Zero,Agua y refrescos,Refresco de cola
29073.0,Refresco cola Hacendado Zero azúcar,Agua y refrescos,Refresco de cola
29033.0,Refresco cola Hacendado Zero azúcar,Agua y refrescos,Refresco de cola
29034.0,Refresco cola Hacendado Zero azúcar,Agua y refrescos,Refresco de cola
29074.0,Refresco cola Hacendado Zero azúcar Zero cafeína,Agua y refrescos,Refresco de cola
29035.0,Refresco cola Hacendado Zero azúcar Zero cafeína,Agua y refrescos,Refresco de cola
29036.0,Refresco cola Hacendado Zero azúcar Zero cafeína,Agua y refrescos,Refresco de cola
23898.0,Refresco cola Pepsi Zero azúcar,Agua y refrescos,Refresco de cola
27610.0,Refresco Fanta limón,Agua y refrescos,Refresco de naranja y de limón
13817.0,Refresco Fanta limón,Agua y refrescos,Refresco de naranja y de limón
27602.0,Refresco Fanta limón,Agua y refrescos,Refresco de naranja y de limón
27608.0,Refresco Fanta limón zero azúcares añadidos,Agua y refrescos,Refresco de naranja y de limón
29077.0,Refresco de limón Hacendado fresh gas,Agua y refrescos,Refresco de naranja y de limón
29043.0,Refresco de limón Hacendado fresh gas,Agua y refrescos,Refresco de naranja y de limón
29044.0,Refresco de limón Hacendado fresh gas,Agua y refrescos,Refresco de naranja y de limón
29078.0,Refresco de limón Hacendado zero azúcar fresh gas,Agua y refrescos,Refresco de naranja y de limón
29045.0,Refresco de limón Hacendado zero azúcar fresh gas,Agua y refrescos,Refresco de naranja y de limón
29046.0,Refresco de limón Hacendado zero azúcar fresh gas,Agua y refrescos,Refresco de naranja y de limón
27761.0,Refresco limón Schweppes original,Agua y refrescos,Refresco de naranja y de limón
27762.0,Refresco limón Schweppes original,Agua y refrescos,Refresco de naranja y de limón
26990.0,Refresco lima limón Sprite,Agua y refrescos,Refresco de naranja y de limón
28176.0,Refresco lima limón Sprite,Agua y refrescos,Refresco de naranja y de limón
27845.0,Refresco lima limón Sprite,Agua y refrescos,Refresco de naranja y de limón
27763.0,Refresco lima limón 7 Up zero azúcar,Agua y refrescos,Refresco de naranja y de limón
22112.0,Refresco lima limón 7 Up zero azúcar,Agua y refrescos,Refresco de naranja y de limón
27770.0,Refresco lima limón 7 Up zero azúcar,Agua y refrescos,Refresco de naranja y de limón
29079.0,Refresco lima limón Hacendado fresh gas,Agua y refrescos,Refresco de naranja y de limón
29047.0,Refresco lima limón Hacendado fresh gas,Agua y refrescos,Refresco de naranja y de limón
29048.0,Refresco lima limón Hacendado fresh gas,Agua y refrescos,Refresco de naranja y de limón
29064.0,Refresco lima limón Hacendado zero azúcar fresh gas,Agua y refrescos,Refresco de naranja y de limón
27526.0,Refresco Fanta naranja,Agua y refrescos,Refresco de naranja y de limón
27508.0,Refresco Fanta naranja,Agua y refrescos,Refresco de naranja y de limón
27571.0,Refresco Fanta naranja,Agua y refrescos,Refresco de naranja y de limón
27502.0,Refresco Fanta naranja,Agua y refrescos,Refresco de naranja y de limón
27545.0,Refresco Fanta naranja zero azúcares añadidos,Agua y refrescos,Refresco de naranja y de limón
27510.0,Refresco Fanta naranja zero azúcares añadidos,Agua y refrescos,Refresco de naranja y de limón
29075.0,Refresco de naranja Hacendado fresh gas,Agua y refrescos,Refresco de naranja y de limón
29039.0,Refresco de naranja Hacendado fresh gas,Agua y refrescos,Refresco de naranja y de limón
29040.0,Refresco de naranja Hacendado fresh gas,Agua y refrescos,Refresco de naranja y de limón
29076.0,Refresco de naranja Hacendado zero fresh gas,Agua y refrescos,Refresco de naranja y de limón
29041.0,Refresco de naranja Hacendado zero fresh gas,Agua y refrescos,Refresco de naranja y de limón
29042.0,Refresco de naranja Hacendado zero fresh gas,Agua y refrescos,Refresco de naranja y de limón
27666.0,Tónica original Schweppes,Agua y refrescos,Tónica y bitter
27667.0,Tónica original Schweppes,Agua y refrescos,Tónica y bitter
29247.0,Tónica original Schweppes,Agua y refrescos,Tónica y bitter
86117.0,Tónica original Schweppes,Agua y refrescos,Tónica y bitter
86118.0,Tónica original Schweppes,Agua y refrescos,Tónica y bitter
28034.0,Tónica Hacendado,Agua y refrescos,Tónica y bitter
27980.0,Tónica Hacendado,Agua y refrescos,Tónica y bitter
27487.0,Tónica zero calorías Schweppes,Agua y refrescos,Tónica y bitter
27488.0,Tónica zero calorías Schweppes,Agua y refrescos,Tónica y bitter
27234.0,Tónica Nordic Mist,Agua y refrescos,Tónica y bitter
27017.0,Tónica Nordic Mist,Agua y refrescos,Tónica y bitter
47995.0,Tónica pink zero Schweppes,Agua y refrescos,Tónica y bitter
4888.0,Tónica pink zero Schweppes,Agua y refrescos,Tónica y bitter
28435.0,Bitter Kas sin alcohol,Agua y refrescos,Tónica y bitter
28509.0,Refresco té al limón Nestea,Agua y refrescos,Refresco de té y sin gas
27801.0,Refresco té al limón Nestea,Agua y refrescos,Refresco de té y sin gas
27903.0,Refresco té al limón Nestea,Agua y refrescos,Refresco de té y sin gas
27832.0,Refresco té verde Hacendado,Agua y refrescos,Refresco de té y sin gas
67938.0,Refresco té sabor limón Hacendado,Agua y refrescos,Refresco de té y sin gas
86137.0,Refresco té sabor melocotón Hacendado zero,Agua y refrescos,Refresco de té y sin gas
80478.0,Refresco té sabor melocotón Hacendado,Agua y refrescos,Refresco de té y sin gas
11307.0,Refresco té sabor limón Hacendado para diluir,Agua y refrescos,Refresco de té y sin gas
11319.0,Refresco té sabor melocotón Hacendado para diluir,Agua y refrescos,Refresco de té y sin gas
86138.0,Refresco té sabor mango Hacendado zero,Agua y refrescos,Refresco de té y sin gas
67939.0,Refresco té sabor limón Hacendado,Agua y refrescos,Refresco de té y sin gas
67940.0,Refresco té sabor limón Hacendado,Agua y refrescos,Refresco de té y sin gas
5546.0,Refresco té sabor limón Hacendado zero,Agua y refrescos,Refresco de té y sin gas
28102.0,Limonada Don Simón light sin gas,Agua y refrescos,Refresco de té y sin gas
27951.0,Refresco de naranja Simon Life sin gas,Agua y refrescos,Refresco de té y sin gas
28077.0,Refresco de naranja Gold Spring sin gas,Agua y refrescos,Refresco de té y sin gas
27842.0,Refresco de naranja Gold Spring sin gas,Agua y refrescos,Refresco de té y sin gas
28187.0,Refresco fusión de frutas Gold Spring cero sin gas,Agua y refrescos,Refresco de té y sin gas
27755.0,Refresco de naranja Trina sin gas,Agua y refrescos,Refresco de té y sin gas
27759.0,Bebida Florida Sunny Delight,Agua y refrescos,Refresco de té y sin gas
13606.0,Refresco de manzana sin gas,Agua y refrescos,Refresco de té y sin gas
