categoria,subcategoria,descripcion,unidades,code,compare,price_eu,price_disc_eu,marca,format,quantity
"Aceite, especias y salsas","Aceite, vinagre y sal",Bicarbonato sódico Hacendado,Bote 300 g,29006.0," 3,667 €/kg",1.1,,Hacendado,Bote,1 x 300 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal marina en escamas Polasal,Bote 125 g,19740.0," 16,00 €/kg",2.0,,,Bote,1 x 125 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal gruesa para hornear Hacendado,Paquete 2 kg,19734.0," 0,475 €/kg",0.95,,Hacendado,Paquete,1 x 2 kg
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal de ajo Hacendado,Bote 130 g,34130.0," 13,847 €/kg",1.8,,Hacendado,Bote,1 x 130 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal de frutas sabor limón Hacendado,Bote 250 g,29016.0," 8,40 €/kg",2.1,,Hacendado,Bote,1 x 250 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal 60% menos de sodio Hacendado,Bote 250 g,19713.0," 9,20 €/kg",2.3,,Hacendado,Bote,1 x 250 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Preparado para salmón ahumado Hacendado,Bote 750 g,19726.0," 4,40 €/kg",3.3,,Hacendado,Bote,1 x 750 g
"Aceite, especias y salsas","Aceite, vinagre y sal",Sal rosa del Himalaya Hacendado,Bote 250 g,19701.0," 7,20 €/kg",1.8,,Hacendado,Bote,1 x 250 g
"Aceite, especias y salsas",Especias,Orégano Hacendado,Bote 25 g,5598.0," 3,80 €/100 g",0.95,,Hacendado,Bote,1 x 25 g
"Aceite, especias y salsas",Especias,Perejil Hacendado,Bote 18 g,5599.0," 5,00 €/100 g",0.95,0.9,Hacendado,Bote,1 x 18 g
"Aceite, especias y salsas",Especias,Hoja de laurel Hacendado,Paquete 12 g,47994.0," 6,667 €/100 g",0.8,,Hacendado,Paquete,1 x 12 g
"Aceite, especias y salsas",Especias,Hierbas provenzales Hacendado,Bote 25 g,34131.0," 4,80 €/100 g",1.2,,Hacendado,Bote,1 x 25 g
"Aceite, especias y salsas",Especias,Albahaca Hacendado,Bote 20 g,34128.0," 6,25 €/100 g",1.25,,Hacendado,Bote,1 x 20 g
"Aceite, especias y salsas",Especias,Romero Hacendado,Bote 40 g,34175.0," 3,375 €/100 g",1.35,,Hacendado,Bote,1 x 40 g
"Aceite, especias y salsas",Especias,Tomillo Hacendado,Bote 24 g,5547.0," 4,375 €/100 g",1.05,,Hacendado,Bote,1 x 24 g
