description,units,price_eu,unit_price,date,order_num,product_code
pan de molde espelta 100% integral hacendado,1,1.1,1.1,2020-01-10,302316,86467.0
gel de bano oliva deliplus piel seca,2,2.7,1.35,2020-01-10,302316,
gelatina 0% azucar sabor fresa hacendado,1,0.98,0.98,2020-01-10,302316,68187.0
tomates cherry,1,1.49,1.49,2020-01-10,302316,
friegasuelos pino bosque verde liquido,1,0.68,0.68,2020-01-10,302316,
quinoa cocida blanca y roja hacendado,1,1.35,1.35,2020-01-10,302316,
yogur cremoso hacendado natural edulcorado,1,1.3,1.3,2020-01-10,302316,
queso untar light blanco pasteurizado philadelphia,1,2.1,2.1,2020-01-10,302316,51079.0
hogaza 100% natural,1,1.0,1.0,2020-01-10,302316,
agua mineral cortes,2,1.46,0.73,2020-01-10,302316,
leche desnatada pascual,2,10.68,5.34,2020-01-10,302316,
dentifrico original binaca,2,3.0,1.5,2020-01-10,302316,
morcilla oreada d' ontinyent,1,1.34,1.34,2020-01-10,302316,35049.0
chorizo oreado,1,2.03,2.03,2020-01-10,302316,
aguacates,1,2.3,2.3,2020-01-10,302316,
caldo de pollo hacendado,1,1.64,1.64,2019-02-27,125935,
servilleta papel bosque verde,1,0.92,0.92,2019-02-27,125935,
longaniza de payes hacendado lonchas,1,1.45,1.45,2019-02-27,125935,
discos desmaquillantes deliplus redondos,1,0.95,0.95,2019-02-27,125935,79407.0
lechuga iceberg base para ensalada,1,0.87,0.87,2019-02-27,125935,
cebolla amarilla,1,1.89,1.89,2019-02-27,125935,
ajo morado,1,1.2,1.2,2019-02-27,125935,
suavizante ropa talco bosque verde concentrado,1,1.79,1.79,2019-02-27,125935,
desodorante roll-on dermo extra control sanex,1,1.8,1.8,2019-02-27,125935,46028.0
taquitos de chorizo revilla,1,2.1,2.1,2019-02-27,125935,
esparragos muy gruesos hacendado blancos enteros,1,2.53,2.53,2019-02-27,125935,16561.0
yogur bifidus desnatado hacendado frutas del bosque,1,0.95,0.95,2019-02-27,125935,
compresa con alas normal evax cotton like,1,3.95,3.95,2019-02-27,125935,47152.0
