product_code,product_price,collected_timestamp
28016.0,1.8,2023-03-11 
28266.0,1.7,2023-03-11 
28265.0,0.8,2023-03-11 
28263.0,2.7,2023-03-11 
28264.0,0.45,2023-03-11 
29378.0,4.52,2023-03-11 
27905.0,1.28,2023-03-11 
29365.0,4.2,2023-03-11 
27913.0,1.1,2023-03-11 
28116.0,3.6,2023-03-11 
29266.0,3.6,2023-03-11 
13815.0,6.72,2023-03-11 
13814.0,1.8,2023-03-11 
27348.0,4.74,2023-03-11 
27342.0,2.47,2023-03-11 
28181.0,1.72,2023-03-11 
28113.0,5.04,2023-03-11 
29360.0,1.49,2023-03-11 
27321.0,9.84,2023-03-11 
27326.0,0.91,2023-03-11 
29072.0,1.1,2023-03-11 
29031.0,2.34,2023-03-11 
29032.0,0.39,2023-03-11 
23894.0,1.89,2023-03-11 
27426.0,9.12,2023-03-11 
27414.0,0.85,2023-03-11 
27449.0,4.0,2023-03-11 
27445.0,2.1,2023-03-11 
13816.0,1.49,2023-03-11 
28115.0,4.64,2023-03-11 
29361.0,1.39,2023-03-11 
27656.0,10.56,2023-03-11 
27406.0,0.9,2023-03-11 
26997.0,9.12,2023-03-11 
27559.0,0.85,2023-03-11 
28180.0,4.0,2023-03-11 
27462.0,2.1,2023-03-11 
29073.0,0.7,2023-03-11 
29033.0,1.92,2023-03-11 
29034.0,0.32,2023-03-11 
29074.0,0.7,2023-03-11 
29035.0,1.92,2023-03-11 
29036.0,0.32,2023-03-11 
23898.0,1.69,2023-03-11 
26997.0,9.12,2023-03-11 
27559.0,0.85,2023-03-11 
28180.0,4.0,2023-03-11 
27462.0,2.1,2023-03-11 
27424.0,0.74,2023-03-11 
27446.0,2.47,2023-03-11 
29074.0,0.7,2023-03-11 
29035.0,1.92,2023-03-11 
29036.0,0.32,2023-03-11 
27610.0,1.75,2023-03-11 
13817.0,6.03,2023-03-11 
27602.0,0.7,2023-03-11 
27608.0,0.7,2023-03-11 
29077.0,0.95,2023-03-11 
29043.0,1.92,2023-03-11 
29044.0,0.32,2023-03-11 
29078.0,0.87,2023-03-11 
29045.0,2.1,2023-03-11 
29046.0,0.35,2023-03-11 
27761.0,7.04,2023-03-11 
27762.0,0.89,2023-03-11 
26990.0,1.54,2023-03-11 
28176.0,4.0,2023-03-11 
27845.0,0.53,2023-03-11 
27763.0,1.55,2023-03-11 
22112.0,4.68,2023-03-11 
27770.0,0.55,2023-03-11 
29079.0,0.95,2023-03-11 
29047.0,2.1,2023-03-11 
29048.0,0.35,2023-03-11 
29064.0,0.87,2023-03-11 
27526.0,2.92,2023-03-11 
27508.0,1.75,2023-03-11 
27571.0,6.03,2023-03-11 
27502.0,0.7,2023-03-11 
27545.0,1.5,2023-03-11 
27510.0,0.7,2023-03-11 
29075.0,0.95,2023-03-11 
29039.0,1.92,2023-03-11 
29040.0,0.32,2023-03-11 
29076.0,0.87,2023-03-11 
29041.0,2.1,2023-03-11 
29042.0,0.35,2023-03-11 
27666.0,7.36,2023-03-11 
27667.0,0.93,2023-03-11 
29247.0,1.97,2023-03-11 
86117.0,6.48,2023-03-11 
86118.0,1.09,2023-03-11 
27034.0,0.92,2023-03-11 
28034.0,2.28,2023-03-11 
27980.0,0.38,2023-03-11 
27487.0,7.04,2023-03-11 
27488.0,0.89,2023-03-11 
27234.0,4.72,2023-03-11 
27017.0,0.68,2023-03-11 
27875.0,7.04,2023-03-11 
27876.0,0.89,2023-03-11 
28922.0,7.04,2023-03-11 
28926.0,0.89,2023-03-11 
28435.0,0.99,2023-03-11 
28433.0,5.49,2023-03-11 
28509.0,6.96,2023-03-11 
27801.0,0.9,2023-03-11 
27903.0,1.95,2023-03-11 
27832.0,1.05,2023-03-11 
27805.0,0.95,2023-03-11 
28154.0,1.05,2023-03-11 
67938.0,0.95,2023-03-11 
86137.0,0.95,2023-03-11 
11307.0,1.3,2023-03-11 
11319.0,1.3,2023-03-11 
11319.0,1.5,2023-03-11 
27951.0,1.85,2023-03-11 
28077.0,1.3,2023-03-11 
27842.0,1.5,2023-03-11 
28187.0,1.3,2023-03-11 
27755.0,1.65,2023-03-11 
27759.0,1.89,2023-03-11 
13606.0,1.0,2023-03-11 
28191.0,1.3,2023-03-11 
28198.0,2.6,2023-03-11 
28190.0,1.3,2023-03-11 
28193.0,1.3,2023-03-11 
15988.0,1.5,2023-03-11 
22910.0,2.76,2023-03-11 
23217.0,1.5,2023-03-11 
22911.0,0.92,2023-03-11 
33053.0,2.1,2023-03-11 
33078.0,1.65,2023-03-11 
33168.0,3.2,2023-03-11 
80177.0,2.5,2023-03-11 
23759.0,1.45,2023-03-11 
33114.0,1.6,2023-03-11 
13422.0,2.85,2023-03-11 
80016.0,2.1,2023-03-11 
33126.0,1.5,2023-03-11 
33121.0,1.7,2023-03-11 
60718.0,1.7,2023-03-11 
33178.0,1.5,2023-03-11 
33059.0,3.7,2023-03-11 
23708.0,1.5,2023-03-11 
33120.0,2.95,2023-03-11 
33205.0,1.3,2023-03-11 
33128.0,3.1,2023-03-11 
15575.0,3.8,2023-03-11 
67915.0,1.75,2023-03-11 
33249.0,1.05,2023-03-11 
22240.0,2.1,2023-03-11 
16851.0,1.15,2023-03-11 
33113.0,2.6,2023-03-11 
86593.0,2.0,2023-03-11 
33235.0,1.6,2023-03-11 
22154.0,1.6,2023-03-11 
73331.0,2.25,2023-03-11 
33184.0,1.5,2023-03-11 
33136.0,1.6,2023-03-11 
33190.0,1.3,2023-03-11 
33182.0,2.1,2023-03-11 
33187.0,1.75,2023-03-11 
33152.0,1.85,2023-03-11 
33073.0,1.4,2023-03-11 
33100.0,2.0,2023-03-11 
33141.0,1.3,2023-03-11 
15966.0,1.3,2023-03-11 
33022.0,2.4,2023-03-11 
