product_code,category,subcategory,pr_23,pr_24
33108,Aperitivos,"Aceitunas y encurtidos",2.65,2.89
33189,Aperitivos,"Aceitunas y encurtidos",1.65,1.65
15967,Aperitivos,"Aceitunas y encurtidos",2.5,2.5
34024,Aperitivos,"Frutos secos y fruta desecada",2.25,2
34865,Aperitivos,"Frutos secos y fruta desecada",2.3,2.05
86202,Aperitivos,"Frutos secos y fruta desecada",3.3,3.35
34079,Aperitivos,"Frutos secos y fruta desecada",1.2,1.2
86190,Aperitivos,"Frutos secos y fruta desecada",3.3,3.35
70702,Aperitivos,"Frutos secos y fruta desecada",1.05,1.05
34078,Aperitivos,"Frutos secos y fruta desecada",1.2,1.2
23365,Aperitivos,"Frutos secos y fruta desecada",2.5,2.3
34822,Aperitivos,"Frutos secos y fruta desecada",1.1,1.1
34027,Aperitivos,"Frutos secos y fruta desecada",2.3,2.4
34025,Aperitivos,"Frutos secos y fruta desecada",2.8,3.1
34013,Aperitivos,"Frutos secos y fruta desecada",2.8,2.8
34868,Aperitivos,"Frutos secos y fruta desecada",1.3,1.3
34821,Aperitivos,"Frutos secos y fruta desecada",1,1
34009,Aperitivos,"Frutos secos y fruta desecada",2.8,2.55
34031,Aperitivos,"Frutos secos y fruta desecada",1.7,1.6
34014,Aperitivos,"Frutos secos y fruta desecada",2.8,2.8
34804,Aperitivos,"Frutos secos y fruta desecada",0.82,0.82
22835,Aperitivos,"Patatas fritas y snacks",1.06,0.9
33440,Aperitivos,"Patatas fritas y snacks",1.35,1.35
22245,Aperitivos,"Patatas fritas y snacks",1.9,1.75
33444,Aperitivos,"Patatas fritas y snacks",1.05,1
33365,Aperitivos,"Patatas fritas y snacks",0.9,1
15810,Aperitivos,"Patatas fritas y snacks",1.3,1.35
33555,Aperitivos,"Patatas fritas y snacks",2.39,2.55
33556,Aperitivos,"Patatas fritas y snacks",2.39,2.55
13548,Aperitivos,"Patatas fritas y snacks",1.15,1.15
33367,Aperitivos,"Patatas fritas y snacks",1.15,1.15
46580,Aperitivos,"Patatas fritas y snacks",1.85,1.99
86205,Aperitivos,"Patatas fritas y snacks",1.15,1.15
33640,Aperitivos,"Patatas fritas y snacks",1,0.9
33529,Aperitivos,"Patatas fritas y snacks",1.79,1.89
33639,Aperitivos,"Patatas fritas y snacks",0.7,0.8
33543,Aperitivos,"Patatas fritas y snacks",1.79,1.89
33641,Aperitivos,"Patatas fritas y snacks",1,0.95
13889,Aperitivos,"Patatas fritas y snacks",0.7,0.75
33642,Aperitivos,"Patatas fritas y snacks",0.75,0.8
15778,Aperitivos,"Patatas fritas y snacks",0.75,0.75
14216,Aperitivos,"Patatas fritas y snacks",1.3,1.3
33581,Aperitivos,"Patatas fritas y snacks",0.75,0.75
33488,Aperitivos,"Patatas fritas y snacks",1.4,1.5
16860,Aperitivos,"Patatas fritas y snacks",0.75,0.75
33637,Aperitivos,"Patatas fritas y snacks",1.45,1.45
33436,Aperitivos,"Patatas fritas y snacks",1.25,1.55
33633,Aperitivos,"Patatas fritas y snacks",0.75,0.85
33624,Aperitivos,"Patatas fritas y snacks",1.5,1.5
33416,Aperitivos,"Patatas fritas y snacks",1.4,1.65
33440,Aperitivos,"Patatas fritas y snacks",1.35,1.35
67774,Aperitivos,"Patatas fritas y snacks",0.85,0.95
14926,Aperitivos,"Patatas fritas y snacks",1.4,1.55
22568,Aperitivos,"Patatas fritas y snacks",0.85,0.85
33407,Aperitivos,"Patatas fritas y snacks",0.8,1
33409,Aperitivos,"Patatas fritas y snacks",1.2,1.2
22835,Aperitivos,"Patatas fritas y snacks",1.06,0.9
15757,Aperitivos,"Patatas fritas y snacks",0.95,0.9
34811,Aperitivos,"Patatas fritas y snacks",1.3,1.3
