date,order_num,description,category,subcategory,units,price_eu,price_order,price_now
2018-11-13,61858,"Jamón serrano Incarlopsa lonchas extrafinas","Charcutería y quesos","Jamón serrano",1,1.99,1.99,2.55
2023-02-04,13640454,"Jamón serrano Incarlopsa lonchas","Charcutería y quesos","Jamón serrano",1,3.58,3.58,4.1
2022-12-28,13374140,"Jamón serrano Incarlopsa lonchas","Charcutería y quesos","Jamón serrano",1,3.58,3.58,4.1
2022-11-30,13151497,"Jamón serrano Incarlopsa lonchas","Charcutería y quesos","Jamón serrano",1,3.58,3.58,4.1
2022-11-16,13069090,"Jamón serrano Incarlopsa lonchas","Charcutería y quesos","Jamón serrano",1,3.49,3.49,4.1
2022-10-31,12950475,"Paleta curada lonchas Paletas Marpa","Charcutería y quesos","Jamón serrano",1,3.87,3.87,4.1
2018-11-13,61858,"Queso grana padano Zanetti","Charcutería y quesos","Queso curado, semicurado y tierno",1,1.4,1.4,3.45
2018-11-13,61858,"Queso curado y cheddar Hacendado en dados","Charcutería y quesos","Queso curado, semicurado y tierno",1,0.99,0.99,1.05
2019-06-20,208575,"Tabla de quesos nacionales Hacendado","Charcutería y quesos","Queso curado, semicurado y tierno",4,15,3.75,4.95
2020-06-18,5857032,"Queso viejo gouda Hacendado","Charcutería y quesos","Queso curado, semicurado y tierno",1,3,3,3.75
2020-11-18,546427,"Queso emmental de vaca Hacendado","Charcutería y quesos","Queso curado, semicurado y tierno",1,2.15,2.15,2.85
2021-09-07,9115773,"Queso emmental de vaca Hacendado","Charcutería y quesos","Queso curado, semicurado y tierno",1,2.15,2.15,2.85
2022-09-28,470822,"Queso tierno bajo en sal mezcla Hacendado","Charcutería y quesos","Queso curado, semicurado y tierno",1,2.71,2.71,3.66
2020-11-07,959862,"Queso tierno gouda de vaca Holland","Charcutería y quesos","Queso curado, semicurado y tierno",1,2.6,2.6,3.3
2021-09-07,9115773,"Queso lonchas tierno mezcla Entrepinares","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,1.8,1.8,2.39
2021-08-05,8403972,"Queso lonchas tierno mezcla Entrepinares","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.15,2.15,2.39
2021-09-02,7475015,"Queso lonchas tierno mezcla Entrepinares","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,1.9,1.9,2.39
2019-02-27,125935,"Queso light Havarti Hacendado lonchas","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.56,2.56,2.8
2019-05-22,185199,"Queso light Havarti Hacendado lonchas","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.48,2.48,2.8
2020-11-18,546427,"Queso light Havarti Hacendado lonchas","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.58,2.58,2.8
2019-01-31,107492,"Queso light Havarti Hacendado lonchas","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.58,2.58,2.8
2018-11-13,61858,"Queso light Havarti Hacendado lonchas","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.57,2.57,2.8
2020-12-15,686714,"Queso light Havarti Hacendado lonchas","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.58,2.58,2.8
2019-02-27,125935,"Queso lonchas de cabra Entrepinares","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.66,2.66,3.14
2019-01-31,107492,"Queso lonchas de cabra Entrepinares","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,3.14,3.14,3.14
2019-06-19,207666,"Queso lonchas de cabra Entrepinares","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.57,2.57,3.14
2023-01-14,13507140,"Queso lonchas cheddar de vaca Hacendado","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,1.92,1.92,1.75
2022-11-16,13069090,"Queso lonchas cheddar de vaca Hacendado","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,1.9,1.9,1.75
2022-11-09,13029815,"Queso lonchas cheddar de vaca Hacendado","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,1.9,1.9,1.75
2022-10-20,12878660,"Queso lonchas cheddar de vaca Hacendado","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,1.9,1.9,1.75
2023-02-04,13640454,"Queso lonchas de oveja Entrepinares","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.35,2.35,2.99
2022-12-21,13315781,"Queso lonchas de oveja Entrepinares","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.44,2.44,2.99
2022-12-14,13253776,"Queso lonchas de oveja Entrepinares","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.37,2.37,2.99
2022-11-30,13151497,"Queso lonchas de oveja Entrepinares","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.44,2.44,2.99
2022-11-23,13117832,"Queso lonchas de oveja Entrepinares","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.23,2.23,2.99
2022-11-16,13069090,"Queso lonchas de oveja Entrepinares","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.52,2.52,2.99
2022-11-09,13029815,"Queso lonchas de oveja Entrepinares","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.48,2.48,2.99
2022-10-31,12950475,"Queso lonchas de oveja Entrepinares","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.42,2.42,2.99
2022-10-06,12793662,"Queso lonchas de oveja Entrepinares","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,2.39,2.39,2.99
2019-02-27,125935,"Queso rallado emmental gratinar de vaca Hacendado","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,1,1,1.63
2021-09-07,9115773,"Queso rallado emmental gratinar de vaca Hacendado","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,1,1,1.63
2021-08-05,8403972,"Queso rallado emmental gratinar de vaca Hacendado","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,1,1,1.63
2022-10-20,12878660,"Queso en polvo grana padano Hacendado","Charcutería y quesos","Queso lonchas, rallado y en porciones",1,1.7,1.7,1.6
2020-06-18,5857032,"Queso untar original Philadelphia","Charcutería y quesos","Queso untable y fresco",1,2.1,2.1,2.74
2020-01-10,302316,"Queso untar light Philadelphia","Charcutería y quesos","Queso untable y fresco",1,2.1,2.1,2.74
2019-02-27,125935,"Queso untar light Philadelphia","Charcutería y quesos","Queso untable y fresco",1,2.1,2.1,2.74
2019-11-01,95302,"Queso untar light Philadelphia","Charcutería y quesos","Queso untable y fresco",1,2.1,2.1,2.74
2018-11-13,61858,"Queso untar light Philadelphia","Charcutería y quesos","Queso untable y fresco",1,2.1,2.1,2.74
2020-08-27,134160,"Queso untar light Philadelphia","Charcutería y quesos","Queso untable y fresco",1,2.1,2.1,2.74
2019-02-27,125935,"Mozzarella fresca de vaca Hacendado","Charcutería y quesos","Queso untable y fresco",2,1.6,0.8,0.95
2019-05-22,185199,"Mozzarella fresca de vaca Hacendado","Charcutería y quesos","Queso untable y fresco",2,1.6,0.8,0.95
2019-01-31,107492,"Mozzarella fresca de vaca Hacendado","Charcutería y quesos","Queso untable y fresco",2,1.6,0.8,0.95
2021-02-18,22016,"Mozzarella fresca de vaca Hacendado","Charcutería y quesos","Queso untable y fresco",1,0.8,0.8,0.95
2019-05-09,278125,"Queso feta mezcla Hacendado en dados","Charcutería y quesos","Queso untable y fresco",1,1.7,1.7,2.35
2020-11-07,959862,"Queso fresco de vaca Burgo de Arias","Charcutería y quesos","Queso untable y fresco",1,2.19,2.19,2.99
2020-01-10,302316,"Mozzarella fresca de vaca Hacendado en perlas","Charcutería y quesos","Queso untable y fresco",1,1.7,1.7,1.91
2020-10-22,404271,"Mozzarella fresca de vaca Hacendado en perlas","Charcutería y quesos","Queso untable y fresco",1,1.7,1.7,1.91
2020-12-15,686714,"Mozzarella fresca de vaca Hacendado en perlas","Charcutería y quesos","Queso untable y fresco",1,1.7,1.7,1.91
2021-09-07,9115773,"Mozzarella fresca de vaca Hacendado en perlas","Charcutería y quesos","Queso untable y fresco",2,3.4,1.7,1.91
2022-10-13,12838037,"Queso fresco para ensaladas de vaca Hacendado en dados","Charcutería y quesos","Queso untable y fresco",1,1.9,1.9,1.95
2022-03-25,11614628,"Queso ricotta mezcla Hacendado","Charcutería y quesos","Queso untable y fresco",1,4.49,4.49,1.8
2022-12-12,13266605,"Queso ricotta mezcla Hacendado","Charcutería y quesos","Queso untable y fresco",1,5.06,5.06,1.8
2022-07-10,12804912,"Queso ricotta mezcla Hacendado","Charcutería y quesos","Queso untable y fresco",1,4.9,4.9,1.8
2021-12-16,10822769,"Queso ricotta mezcla Hacendado","Charcutería y quesos","Queso untable y fresco",1,4.23,4.23,1.8
2022-02-22,11422261,"Queso ricotta mezcla Hacendado","Charcutería y quesos","Queso untable y fresco",1,4.34,4.34,1.8
2022-10-20,12878660,"Burrata fresca Hacendado","Charcutería y quesos","Queso untable y fresco",1,2.4,2.4,2.2
2022-12-28,13374140,"Queso rulo de cabra Hacendado","Charcutería y quesos","Queso untable y fresco",1,2.35,2.35,2.4
2022-03-25,11614628,"Queso azul de vaca Hacendado","Charcutería y quesos","Queso untable y fresco",1,2.6,2.6,2.1
2021-12-16,10822769,"Queso azul de vaca Hacendado","Charcutería y quesos","Queso untable y fresco",1,2.51,2.51,2.1
2022-02-22,11422261,"Queso azul de vaca Hacendado","Charcutería y quesos","Queso untable y fresco",1,2.93,2.93,2.1
2022-07-10,12804912,"Queso azul de vaca Hacendado","Charcutería y quesos","Queso untable y fresco",1,1.91,1.91,2.1
2023-02-25,13821013,"Queso de cabra Président en medallones","Charcutería y quesos","Queso untable y fresco",1,3.32,3.32,3.32
2023-01-21,13546313,"Queso de cabra Président en medallones","Charcutería y quesos","Queso untable y fresco",1,3.32,3.32,3.32
