product_code,price_eu,collected_timestamp
27571.0,6.57,2024-03-13
27502.0,0.75,2024-03-13
27545.0,1.79,2024-03-13
27510.0,0.75,2024-03-13
29075.0,0.95,2024-03-13
29039.0,2.1,2024-03-13
29040.0,0.35,2024-03-13
29076.0,0.95,2024-03-13
29041.0,2.1,2024-03-13
29042.0,0.35,2024-03-13
27666.0,7.52,2024-03-13
27667.0,0.95,2024-03-13
29247.0,1.9,2024-03-13
86117.0,6.3,2024-03-13
86118.0,1.06,2024-03-13
28034.0,2.28,2024-03-13
27980.0,0.38,2024-03-13
27487.0,7.52,2024-03-13
27488.0,0.95,2024-03-13
27234.0,4.72,2024-03-13
27017.0,0.69,2024-03-13
47995.0,7.52,2024-03-13
4888.0,0.95,2024-03-13
28435.0,0.99,2024-03-13
28509.0,7.68,2024-03-13
27801.0,0.99,2024-03-13
27903.0,1.99,2024-03-13
27832.0,0.95,2024-03-13
67938.0,0.95,2024-03-13
86137.0,0.95,2024-03-13
80478.0,0.95,2024-03-13
11307.0,1.5,2024-03-13
11319.0,1.5,2024-03-13
86138.0,0.95,2024-03-13
67939.0,3.0,2024-03-13
67940.0,0.5,2024-03-13
5546.0,0.95,2024-03-13
28102.0,1.5,2024-03-13
27951.0,1.85,2024-03-13
28077.0,1.4,2024-03-13
27842.0,1.5,2024-03-13
28187.0,1.4,2024-03-13
27755.0,1.69,2024-03-13
27759.0,1.95,2024-03-13
13606.0,1.0,2024-03-13
28191.0,1.4,2024-03-13
28198.0,2.6,2024-03-13
28190.0,1.4,2024-03-13
28193.0,1.4,2024-03-13
15988.0,1.5,2024-03-13
22910.0,3.12,2024-03-13
23217.0,1.6,2024-03-13
22911.0,1.04,2024-03-13
33053.0,2.6,2024-03-13
33024.0,1.4,2024-03-13
33078.0,1.8,2024-03-13
33168.0,3.3,2024-03-13
80177.0,2.5,2024-03-13
23759.0,1.65,2024-03-13
33010.0,3.95,2024-03-13
33114.0,1.65,2024-03-13
13422.0,2.9,2024-03-13
80016.0,2.6,2024-03-13
33121.0,1.85,2024-03-13
60718.0,1.7,2024-03-13
33178.0,1.65,2024-03-13
33059.0,4.2,2024-03-13
23708.0,1.65,2024-03-13
33120.0,3.2,2024-03-13
33205.0,1.5,2024-03-13
86100.0,3.95,2024-03-13
67915.0,1.75,2024-03-13
4791.0,1.75,2024-03-13
52622.0,3.25,2024-03-13
33249.0,1.2,2024-03-13
21756.0,2.5,2024-03-13
16851.0,1.15,2024-03-13
33113.0,2.8,2024-03-13
86593.0,2.2,2024-03-13
33235.0,1.55,2024-03-13
22154.0,1.55,2024-03-13
73331.0,2.35,2024-03-13
86309.0,1.3,2024-03-13
33136.0,1.75,2024-03-13
33190.0,1.3,2024-03-13
33182.0,2.1,2024-03-13
4868.0,1.8,2024-03-13
33100.0,1.8,2024-03-13
33141.0,1.5,2024-03-13
15966.0,1.3,2024-03-13
33022.0,2.4,2024-03-13
33108.0,2.89,2024-03-13
33189.0,1.65,2024-03-13
15967.0,2.5,2024-03-13
5480.0,1.45,2024-03-13
5481.0,1.6,2024-03-13
34024.0,2.0,2024-03-13
34865.0,2.05,2024-03-13
86202.0,3.35,2024-03-13
34079.0,1.2,2024-03-13
86190.0,3.35,2024-03-13
70702.0,1.05,2024-03-13
34078.0,1.2,2024-03-13
23365.0,2.3,2024-03-13
34822.0,1.1,2024-03-13
34027.0,2.4,2024-03-13
34025.0,3.1,2024-03-13
34013.0,2.8,2024-03-13
34868.0,1.3,2024-03-13
34821.0,1.0,2024-03-13
34009.0,2.55,2024-03-13
34031.0,1.6,2024-03-13
34014.0,2.8,2024-03-13
34804.0,0.82,2024-03-13
86146.0,1.3,2024-03-13
22245.0,1.75,2024-03-13
33444.0,1.0,2024-03-13
33365.0,1.0,2024-03-13
86145.0,1.2,2024-03-13
15589.0,1.0,2024-03-13
15810.0,1.35,2024-03-13
33555.0,2.55,2024-03-13
15590.0,1.2,2024-03-13
33556.0,2.55,2024-03-13
13548.0,1.15,2024-03-13
33367.0,1.15,2024-03-13
46580.0,1.99,2024-03-13
86205.0,1.15,2024-03-13
5398.0,1.6,2024-03-13
52748.0,1.15,2024-03-13
52742.0,1.15,2024-03-13
33640.0,0.9,2024-03-13
33529.0,1.89,2024-03-13
33639.0,0.8,2024-03-13
33543.0,1.89,2024-03-13
33641.0,0.95,2024-03-13
13889.0,0.75,2024-03-13
33642.0,0.8,2024-03-13
15778.0,0.75,2024-03-13
14216.0,1.3,2024-03-13
33581.0,0.75,2024-03-13
33488.0,1.5,2024-03-13
16860.0,0.75,2024-03-13
33637.0,1.45,2024-03-13
33436.0,1.55,2024-03-13
33633.0,0.85,2024-03-13
33624.0,1.5,2024-03-13
33416.0,1.65,2024-03-13
33440.0,1.35,2024-03-13
67774.0,0.95,2024-03-13
14926.0,1.55,2024-03-13
22568.0,0.85,2024-03-13
33407.0,1.0,2024-03-13
33409.0,1.2,2024-03-13
22835.0,0.9,2024-03-13
15757.0,0.9,2024-03-13
34811.0,1.3,2024-03-13
50360.0,1.0,2024-03-13
53144.0,3.34,2024-03-13
80476.0,1.0,2024-03-13
30138.0,1.1,2024-03-13
60323.0,0.95,2024-03-13
52686.0,1.2,2024-03-13
5044.0,1.27,2024-03-13
5063.0,1.3,2024-03-13
22280.0,1.2,2024-03-13
22281.0,1.15,2024-03-13
5025.0,4.9,2024-03-13
22278.0,1.5,2024-03-13
22279.0,1.15,2024-03-13
5042.0,1.54,2024-03-13
5002.0,2.54,2024-03-13
5014.0,1.7,2024-03-13
9395.0,1.9,2024-03-13
5020.0,1.54,2024-03-13
9430.0,2.65,2024-03-13
8713.0,1.5,2024-03-13
5005.0,2.68,2024-03-13
5050.0,1.82,2024-03-13
26029.0,0.71,2024-03-13
26039.0,0.65,2024-03-13
26033.0,1.06,2024-03-13
5214.0,2.2,2024-03-13
5219.0,1.95,2024-03-13
5220.0,2.75,2024-03-13
26019.0,0.69,2024-03-13
26028.0,0.65,2024-03-13
26000.0,1.05,2024-03-13
26001.0,1.1,2024-03-13
5124.0,1.85,2024-03-13
26023.0,2.2,2024-03-13
67608.0,2.4,2024-03-13
67609.0,2.55,2024-03-13
26002.0,1.5,2024-03-13
23453.0,2.26,2024-03-13
5330.0,2.1,2024-03-13
26030.0,0.87,2024-03-13
26011.0,0.75,2024-03-13
7329.0,2.25,2024-03-13
5325.0,1.88,2024-03-13
13577.0,0.82,2024-03-13
6253.0,0.82,2024-03-13
6261.0,0.82,2024-03-13
6258.0,0.82,2024-03-13
6282.0,0.82,2024-03-13
6256.0,0.82,2024-03-13
6341.0,1.35,2024-03-13
6333.0,1.3,2024-03-13
80291.0,1.6,2024-03-13
9490.0,1.9,2024-03-13
35618.0,2.0,2024-03-13
6305.0,1.1,2024-03-13
35777.0,1.2,2024-03-13
6358.0,1.24,2024-03-13
6344.0,1.6,2024-03-13
6260.0,0.82,2024-03-13
6300.0,1.35,2024-03-13
6250.0,1.35,2024-03-13
6278.0,0.82,2024-03-13
6361.0,1.24,2024-03-13
6106.0,1.58,2024-03-13
6371.0,1.3,2024-03-13
6357.0,1.24,2024-03-13
6244.0,0.82,2024-03-13
6238.0,0.82,2024-03-13
6326.0,0.82,2024-03-13
35643.0,2.0,2024-03-13
6276.0,0.82,2024-03-13
35779.0,1.2,2024-03-13
6246.0,0.82,2024-03-13
35778.0,1.2,2024-03-13
6277.0,0.82,2024-03-13
6321.0,1.35,2024-03-13
6302.0,1.35,2024-03-13
6245.0,1.35,2024-03-13
6331.0,0.82,2024-03-13
35670.0,2.0,2024-03-13
6153.0,1.15,2024-03-13
6565.0,1.35,2024-03-13
6142.0,1.72,2024-03-13
6143.0,1.72,2024-03-13
6566.0,1.35,2024-03-13
6175.0,1.12,2024-03-13
6141.0,2.24,2024-03-13
6145.0,1.72,2024-03-13
6149.0,2.48,2024-03-13
6152.0,2.24,2024-03-13
86841.0,1.72,2024-03-13
86840.0,2.0,2024-03-13
35652.0,2.24,2024-03-13
35868.0,2.24,2024-03-13
6856.0,1.43,2024-03-13
35953.0,1.2,2024-03-13
52889.0,1.2,2024-03-13
8648.0,1.95,2024-03-13
8645.0,3.95,2024-03-13
8618.0,1.55,2024-03-13
86514.0,0.9,2024-03-13
8727.0,1.3,2024-03-13
8730.0,0.9,2024-03-13
22453.0,0.95,2024-03-13
22455.0,1.0,2024-03-13
19897.0,1.45,2024-03-13
19837.0,1.55,2024-03-13
22349.0,1.95,2024-03-13
19832.0,1.6,2024-03-13
19859.0,1.95,2024-03-13
35649.0,2.6,2024-03-13
70741.0,0.85,2024-03-13
19802.0,1.15,2024-03-13
19808.0,1.15,2024-03-13
19860.0,2.7,2024-03-13
19820.0,2.05,2024-03-13
19817.0,3.1,2024-03-13
19812.0,1.85,2024-03-13
19825.0,2.0,2024-03-13
67637.0,3.2,2024-03-13
65235.0,1.0,2024-03-13
65067.0,1.95,2024-03-13
65161.0,1.0,2024-03-13
65172.0,1.95,2024-03-13
65139.0,1.0,2024-03-13
65147.0,1.0,2024-03-13
65164.0,1.0,2024-03-13
65165.0,1.95,2024-03-13
65135.0,1.0,2024-03-13
65056.0,1.25,2024-03-13
65140.0,1.0,2024-03-13
65213.0,1.8,2024-03-13
65177.0,1.25,2024-03-13
52754.0,1.15,2024-03-13
65302.0,1.15,2024-03-13
65123.0,1.15,2024-03-13
65138.0,1.05,2024-03-13
65326.0,1.95,2024-03-13
65298.0,2.6,2024-03-13
65328.0,1.95,2024-03-13
65299.0,2.6,2024-03-13
65311.0,1.5,2024-03-13
65324.0,1.15,2024-03-13
13388.0,1.95,2024-03-13
65327.0,1.95,2024-03-13
65143.0,1.35,2024-03-13
13390.0,1.2,2024-03-13
22823.0,1.3,2024-03-13
52570.0,1.25,2024-03-13
52794.0,2.3,2024-03-13
60722.0,1.25,2024-03-13
12531.0,1.45,2024-03-13
12495.0,2.35,2024-03-13
7913.0,2.0,2024-03-13
22704.0,1.45,2024-03-13
23773.0,1.05,2024-03-13
40358.0,1.6,2024-03-13
12126.0,3.8,2024-03-13
12130.0,3.9,2024-03-13
12553.0,1.85,2024-03-13
12139.0,3.25,2024-03-13
12431.0,1.7,2024-03-13
12544.0,2.0,2024-03-13
29062.0,2.15,2024-03-13
12493.0,2.65,2024-03-13
22703.0,1.4,2024-03-13
12524.0,1.5,2024-03-13
12530.0,2.25,2024-03-13
12586.0,1.8,2024-03-13
70652.0,1.05,2024-03-13
80518.0,1.05,2024-03-13
80517.0,1.05,2024-03-13
12562.0,1.4,2024-03-13
12099.0,1.55,2024-03-13
12151.0,1.55,2024-03-13
12037.0,1.45,2024-03-13
12107.0,3.9,2024-03-13
15633.0,1.15,2024-03-13
12527.0,1.25,2024-03-13
12098.0,1.55,2024-03-13
12140.0,3.25,2024-03-13
12016.0,3.5,2024-03-13
23837.0,1.15,2024-03-13
86798.0,1.05,2024-03-13
32227.0,1.45,2024-03-13
12533.0,1.6,2024-03-13
15527.0,1.05,2024-03-13
70756.0,1.05,2024-03-13
12476.0,0.75,2024-03-13
12543.0,1.6,2024-03-13
12490.0,1.0,2024-03-13
22408.0,1.05,2024-03-13
12526.0,2.45,2024-03-13
12171.0,1.95,2024-03-13
12510.0,3.0,2024-03-13
12509.0,1.3,2024-03-13
12094.0,1.5,2024-03-13
12348.0,2.0,2024-03-13
12347.0,2.0,2024-03-13
12540.0,1.5,2024-03-13
12020.0,1.75,2024-03-13
12457.0,1.1,2024-03-13
12364.0,1.65,2024-03-13
12362.0,1.65,2024-03-13
12421.0,1.4,2024-03-13
12420.0,1.25,2024-03-13
34046.0,2.15,2024-03-13
