product,unidades,product_code
Chili con carne Hacendado,Bote 420 g,23137.0
Salsa bechamel Knorr,Brick 500 ml,86713.0
Extracto original de buey Bovril,Tarro 125 g,7307.0
Salsa cocktail Hacendado,Bote 460 ml,23072.0
Salsa aperitivo Dani,Bote 125 ml,23409.0
Salsa romesco Ferrer,Tarro 130 g,17290.0
Salsa picante Mc. Ilhenny Tabasco,Botella 57 ml,17337.0
Salsa calçots Ferrer,Tarro 320 g,17291.0
Pasta de sésamo Tahini Hacendado,Tarro 200 g,17441.0
Salsa brava Hacendado,Bote 310 g,35163.0
Agua mineral grande Font Agudes mineralización débil,Garrafa 8 L,28039.0
Agua mineral grande Font Agudes mineralización débil,Garrafa 6 L,27335.0
Agua mineral grande Font Agudes mineralización débil,"6 botellas x 1,5 L ",26992.0
Agua mineral grande Font Agudes mineralización débil,"Botella 1,5 L",26993.0
Agua mineral mediana Font Agudes mineralización débil,6 botellas x 1 L ,28572.0
Agua mineral mediana Font Agudes mineralización débil,Botella 1 L,28573.0
Agua mineral pequeña Font Agudes mineralización débil,6 botellas x 500 ml ,27062.0
Agua mineral pequeña Font Agudes mineralización débil,Botella 500 ml,27514.0
Agua mineral pequeña Font Agudes tapón infantil mineralización débil,6 botellas x 330 ml ,27576.0
Agua mineral pequeña Font Agudes tapón infantil mineralización débil,Botella 330 ml,27575.0
Agua mineral grande Bronchales mineralización muy débil,Garrafa 6 L,28035.0
Agua mineral grande Bronchales mineralización muy débil,"6 botellas x 1,5 L ",23448.0
Agua mineral grande Bronchales mineralización muy débil,"Botella 1,5 L",23449.0
Agua mineral mediana Bronchales mineralización muy débil,6 botellas x 1 L ,28491.0
Agua mineral mediana Bronchales mineralización muy débil,Botella 1 L,28499.0
Agua mineral pequeña Bronchales mineralización muy débil,6 botellas x 500 ml ,27061.0
Agua mineral pequeña Bronchales mineralización muy débil,Botella 500 ml,27054.0
Agua mineral pequeña Bronchales tapón infantil mineralización muy débil,6 botellas x 330 ml ,28566.0
Agua mineral pequeña Bronchales tapón infantil mineralización muy débil,Botella 330 ml,28567.0
Agua mineral grande Bezoya mineralización muy débil,"6 botellas x 1,5 L ",27314.0
Agua mineral grande Bezoya mineralización muy débil,"Botella 1,5 L",27230.0
Agua mineral grande Ribes mineralización débil,Garrafa 8 L,27292.0
Agua mineral grande Ribes mineralización débil,"6 botellas x 1,5 L ",27155.0
Agua mineral grande Ribes mineralización débil,"Botella 1,5 L",27038.0
Agua mineral grande Nestlé Aquarel mineralización muy débil,"6 botellas x 1,5 L ",27099.0
Agua mineral grande Nestlé Aquarel mineralización muy débil,"Botella 1,5 L",27232.0
Agua mineral grande Font Vella,"6 botellas x 1,5 L ",27350.0
Agua mineral grande Font Vella,"Botella 1,5 L",27204.0
Agua mineral grande Solán de Cabras mineralización muy débil,"6 botellas x 1,5 L ",27327.0
Agua mineral grande Solán de Cabras mineralización muy débil,"Botella 1,5 L",27356.0
Agua mineral grande Viladrau,"6 botellas x 1,5 L ",27253.0
Agua mineral grande Viladrau,"Botella 1,5 L",27221.0
Agua de coco Chaokoh 100% natural,Brick 1 L,28198.0
Agua mineral con gas grande Vichy Catalan,Botella 1 L,27213.0
Agua mineral con gas pequeña Vichy Catalan,6 botellas x 300 ml ,28185.0
Agua mineral con gas grande Cortes,"6 botellas x 1,5 L ",27366.0
Agua mineral con gas grande Cortes,"Botella 1,5 L",27367.0
Agua mineral con gas pequeña Cortes,6 botellas x 500 ml ,27368.0
Agua mineral con gas pequeña Cortes,Botella 500 ml,27369.0
Agua mineral con gas grande San Narciso,Botella 1 L,27084.0
Agua mineral con gas grande San Pellegrino,6 botellas x 1 L ,27894.0
Agua mineral con gas grande San Pellegrino,Botella 1 L,27893.0
Agua de soda con sifón La Casa,"Botella 1,5 L",27203.0
Agua mineral con gas grande Fonter,6 botellas x 1 L ,27598.0
Agua mineral con gas grande Fonter,Botella 1 L,27597.0
Gaseosa Hacendado grande,"Botella 1,5 L",27973.0
Gaseosa Hacendado pequeña,6 botellas x 500 ml ,27972.0
Gaseosa Hacendado pequeña,Botella 500 ml,27971.0
Gaseosa La Casera grande,"2 botellas x 1,5 L ",27733.0
Gaseosa La Casera grande,"Botella 1,5 L",27735.0
Bebida isotónica limón Aquarius,"Botella 1,5 L",29608.0
Bebida isotónica limón Aquarius,8 latas x 330 ml ,29605.0
Bebida isotónica limón Aquarius,Lata 330 ml,29625.0
Bebida isotónica sabor cítrico Iso drink Hacendado,"Botella 1,5 L",28576.0
Bebida isotónica sabor cítrico Iso drink Hacendado,6 latas x 330 ml ,28575.0
Bebida isotónica sabor cítrico Iso drink Hacendado,Lata 330 ml,28574.0
Bebida isotónica naranja Aquarius,"Botella 1,5 L",29609.0
Bebida isotónica naranja Aquarius,8 latas x 330 ml ,29604.0
Bebida isotónica naranja Aquarius,Lata 330 ml,29624.0
Bebida isotónica limón Aquarius zero azúcar,"Botella 1,5 L",29612.0
Bebida isotónica de naranja Iso drink Hacendado,"Botella 1,5 L",28688.0
Bebida isotónica de naranja Iso drink Hacendado,6 latas x 330 ml ,28690.0
Bebida isotónica de naranja Iso drink Hacendado,Lata 330 ml,28689.0
Bebida isotónica Iso On blue Hacendado,"Botella 1,5 L",29410.0
Bebida isotónica Iso On blue Hacendado,Botella 500 ml,29080.0
Bebida isotónica azul Powerade,Botella 500 ml,27491.0
Bebida isotónica soluble sabor limón Enervit Sport,Bote 14 dosis (420 g),28299.0
Bebida energética light Hacendado,Lata 250 ml,27944.0
Bebida energética Energy Ultra zero Monster,4 latas x 500 ml ,28670.0
Bebida energética Energy Ultra zero Monster,Lata 500 ml,28119.0
Malta Maltín Polar,207 ml ,66168.0
Bebida energética energy Monster,4 latas x 500 ml ,28664.0
Bebida energética Energy Monster,Lata 500 ml,28016.0
Bebida energética Energy Drink,"Botella 1,5 L",28266.0
Bebida energética Energy Drink,Bote 500 ml,28265.0
Bebida energética Energy Drink,6 latas x 250 ml ,28263.0
Bebida energética Energy Drink,Lata 250 ml,28264.0
Bebida energética Red Bull,4 latas x 250 ml ,29378.0
Bebida energética Red Bull,Lata 250 ml,27905.0
Bebida energética original Burn,4 latas x 500 ml ,29365.0
Bebida energética original Burn,Lata 500 ml,27913.0
Gel energético con cafeína Enervit Sport sabor cítricos,3 ud. x 32 g ,28116.0
Gel energético Enervit Sport sabor naranja,3 ud. x 32 g ,29266.0
Bebida energética Mango Loco Monster,4 latas x 500 ml ,13815.0
Bebida energética Mango Loco Monster,Lata 500 ml,13814.0
Refresco Coca-Cola,2 botellas x 2 L ,27348.0
Refresco Coca-Cola,Botella 2 L,27342.0
Refresco Coca-Cola,"Botella 1,25 L",28181.0
Refresco Coca-Cola,4 botellas x 500 ml ,28113.0
