description,units,price_eu,unit_price,date,order_num,user
Jamón serrano Incarlopsa lonchas,1,3.49,3.49,2020-10-22,404271,family
Queso fresco de cabra Hacendado,1,2.2,2.2,2020-10-22,404271,family
Queso rallado 4 quesos Hacendado,1,1.59,1.59,2020-10-22,404271,family
Perlas de mozzarella fresca Hacendado,1,1.7,1.7,2020-10-22,404271,family
Mozzarella di bufala campana Hacendado,1,1.7,1.7,2020-10-22,404271,family
Salchichón extra pimienta Hacendado finas lonchas,1,1.38,1.38,2020-10-22,404271,family
Mortadela italiana Hacendado finas lonchas,1,1.69,1.69,2020-10-22,404271,family
Dentífrico triple acción Colgate con flúor,2,3.5,1.75,2020-10-22,404271,family
Lenteja cocida pardina Hacendado,2,0.98,0.49,2020-10-22,404271,family
Papel multiusos resistente Bosque Verde,1,2.89,2.89,2020-10-22,404271,family
Pan de molde espelta 100% integral Hacendado,1,1.1,1.1,2020-10-22,404271,family
Gel de baño oliva Deliplus piel seca,2,2.7,1.35,2020-10-22,404271,family
Gelatina 0% azúcar sabor fresa Hacendado,1,0.98,0.98,2020-10-22,404271,family
Friegasuelos pino Bosque Verde líquido,1,0.68,0.68,2020-10-22,404271,family
Quinoa cocida blanca y roja Hacendado,1,1.35,1.35,2020-10-22,404271,family
Yogur cremoso Hacendado natural edulcorado,1,1.3,1.3,2020-10-22,404271,family
Papel higiénico doble rollo Bosque Verde,1,3.82,3.82,2020-10-22,404271,family
Hamburguesas de vacuno gruesas,2,6.24,3.12,2020-10-01,466635,family
Dentífrico blanqueador sensation Colgate,2,4.1,2.05,2020-10-01,466635,family
Champú repara & protege Pantene cabello débil y dañado,2,5.98,2.99,2020-10-01,466635,family
Jamón cocido extra Hacendado finas lonchas,1,3.08,3.08,2020-10-01,466635,family
Lenteja cocida Hacendado,2,1.18,0.59,2020-10-01,466635,family
Nata ligera para cocinar Hacendado,1,1.32,1.32,2020-10-01,466635,family
Huevos grandes L,1,1.45,1.45,2020-10-01,466635,family
Gazpacho fresco Hacendado,1,2.69,2.69,2020-10-01,466635,family
Detergente ropa blanca y de color Bosque Verde líquido concentrado,1,6.95,6.95,2020-10-01,466635,family
Bolsa de basura grande Bosque Verde 50L cubo grande,1,1.55,1.55,2020-10-01,466635,family
Friegasuelos pino Bosque Verde líquido,1,0.68,0.68,2020-10-01,466635,family
Salteado de verduras asadas Hacendado ultracongeladas,1,1.5,1.5,2020-10-01,466635,family
Parrillada de verduras Hacendado ultracongeladas,1,1.2,1.2,2020-10-01,466635,family
Ensalada mezcla dúo canónigos y rúcula,1,1.35,1.35,2020-10-01,466635,family
Jabón de manos dermoprotector Deliplus líquido,2,1.6,0.8,2020-10-01,466635,family
Garbanzo cocido Hacendado,2,1.4,0.7,2020-10-01,466635,family
Servilleta papel Bosque Verde,1,0.92,0.92,2020-10-01,466635,family
Patatas,1,3.95,3.95,2020-10-01,466635,family
Cebollas,1,1.3,1.3,2020-10-01,466635,family
Sal lavavajillas Bosque Verde en pastillas,1,1.4,1.4,2020-10-01,466635,family
Agua mineral Cortes,2,1.46,0.73,2020-10-01,466635,family
Perfilador de cejas definidor Deliplus 01,1,3.95,3.95,2018-04-12,73955,family
Lechuga iceberg base para ensalada,1,0.87,0.87,2018-04-12,73955,family
Nata ligera para cocinar Hacendado,1,1.32,1.32,2018-04-12,73955,family
Café molido natural Hacendado,1,1.05,1.05,2018-04-12,73955,family
Macarrón al huevo Hacendado,1,0.99,0.99,2018-04-12,73955,family
Arroz redondo La Fallera,1,1.35,1.35,2018-04-12,73955,family
Papel higiénico húmedo WC Bosque Verde,1,1.74,1.74,2018-04-12,73955,family
Servilleta papel suavidad y absorción Bosque Verde,1,0.99,0.99,2018-04-12,73955,family
Plátano,4,1.82,0.455,2018-04-12,73955,family
Discos desmaquillantes Deliplus redondos,1,0.95,0.95,2018-04-12,73955,family
Protegeslip normal Deliplus,1,1.95,1.95,2018-04-12,73955,family
Compresa con alas normal Evax cotton like,1,3.95,3.95,2018-04-12,73955,family
Calabacín verde,4,2.9,0.725,2018-04-12,73955,family
Aceite de oliva virgen Hacendado,1,9.3,9.3,2018-04-12,73955,family
Vinagre de vino blanco Hacendado,1,0.49,0.49,2018-04-12,73955,family
Huevos grandes L,1,1.45,1.45,2018-04-12,73955,family
Yogur bífidus desnatado Hacendado frutas del bosque,1,0.95,0.95,2018-04-12,73955,family
Yogur natural azucarado Hacendado,1,1.44,1.44,2018-04-12,73955,family
Azúcar moreno de caña integral Acor,1,1.87,1.87,2018-04-12,73955,family
Azúcar blanco,1,0.69,0.69,2018-04-12,73955,family
Suavizante ropa talco Bosque Verde concentrado,1,1.79,1.79,2018-04-12,73955,family
Amoníaco con detergente Bosque Verde,1,0.85,0.85,2018-04-12,73955,family
Limpiador baños Bosque Verde en gel,1,1.3,1.3,2018-04-12,73955,family
Fregasuelos pino Bosque Verde líquido,1,0.68,0.68,2018-04-12,73955,family
Ajo morado,1,1.75,1.75,2018-04-12,73955,family
Cebolla amarilla,1,1.29,1.29,2018-04-12,73955,family
Pan de molde con avena Hacendado,1,1.25,1.25,2018-04-12,73955,family
Espárragos muy gruesos Hacendado blancos enteros,1,2.53,2.53,2018-04-12,73955,family
Alubia cocida blanca Hacendado,2,1.18,0.59,2018-04-12,73955,family
Agua mineral Cortes,1,0.73,0.73,2018-04-12,73955,family
Bacón Hacendado cintas,1,1.85,1.85,2018-04-12,73955,family
Garbanzo cocido Hacendado,2,1.4,0.7,2018-04-12,73955,family
Maíz dulce Hacendado,1,0.95,0.95,2018-04-12,73955,family
Café en cápsula sontuoso L'Or Espresso,2,6.58,3.29,2018-04-12,73955,family
Arroz cocido integral Brillante,1,1.1,1.1,2018-04-12,73955,family
Tomate frito receta artesana Hacendado,1,1.7,1.7,2018-04-12,73955,family
Longaniza de payés Hacendado lonchas,1,1.45,1.45,2018-04-12,73955,family
Chocolate con leche Lindt,1,1.15,1.15,2018-04-12,73955,family
Patata,1,3.5,3.5,2018-04-12,73955,family
Bacón Oscar Mayer lonchas,1,1.75,1.75,2018-04-12,73955,family
Chocolate con leche Milka,1,1.01,1.01,2018-04-12,73955,family
Taquitos de chorizo Revilla,1,2.1,2.1,2018-04-12,73955,family
Dentífrico max white one Colgate,1,2.7,2.7,2018-04-12,73955,family
Leche desnatada Pascual,1,5.34,5.34,2018-04-12,73955,family
Caldo de verduras Hacendado,1,1.0,1.0,2018-04-12,73955,family
Papel higiénico doble rollo Bosque Verde,1,3.74,3.74,2018-04-12,73955,family
Chorizo extra Hacendado lonchas,1,1.39,1.39,2018-04-12,73955,family
