description,units,price_eu,unit_price,date,order_num,product_code
paraguayo,4,0.73,0.1825,2019-05-09,278125,
melocoton amarillo,5,1.51,0.302,2019-05-09,278125,
tempura 7 verduras hacendado ultracongelada,1,1.85,1.85,2019-05-09,278125,
salmorejo fresco hacendado,1,2.96,2.96,2019-05-09,278125,
ensalada poke salmon,1,3.85,3.85,2019-05-09,278125,
queso en dados feta hacendado,1,1.7,1.7,2019-05-09,278125,
gazpacho fresco hacendado,1,2.69,2.69,2019-05-09,278125,
lavavajillas todo en 1 bosque verde en pastillas,1,2.7,2.7,2019-05-09,278125,
guantes de latex rubberex talla pequena,1,0.7,0.7,2019-05-09,278125,
placas para canelones del castillo,1,0.58,0.58,2019-05-09,278125,
spaghetti hacendado,2,1.5,0.75,2019-05-09,278125,
champu anticaspa h&s cabello graso,1,2.99,2.99,2020-06-07,935378,
judia verde plana,1,2.49,2.49,2020-06-07,935378,
dentifrico original binaca,2,3.0,1.5,2020-06-07,935378,
discos desmaquillantes deliplus redondos,2,1.9,0.95,2020-06-07,935378,
hogaza 100% natural,1,1.0,1.0,2020-06-07,935378,
"pan con semillas 4,5% rebanado",1,1.5,1.5,2020-06-07,935378,
mascarillas higienicas no reutilizables deliplus,1,6.0,6.0,2020-06-07,935378,
servilleta papel cocktail color bosque verde,2,2.6,1.3,2019-06-20,208575,
pimenton dulce hacendado,1,0.9,0.9,2019-06-20,208575,
tomate troceado pelado hacendado,3,1.86,0.62,2019-06-20,208575,
cebolla,1,1.3,1.3,2019-06-20,208575,
ajo morado,1,1.2,1.2,2019-06-20,208575,
aceite de oliva virgen extra hacendado,1,3.69,3.69,2019-06-20,208575,
aceitunas rellenas de anchoa hacendado,1,3.1,3.1,2019-06-20,208575,
almendra frita marcona hacendado,1,3.8,3.8,2019-06-20,208575,
guacamole,3,9.87,3.29,2019-06-20,208575,
tabla de quesos nacionales,4,15.0,3.75,2019-06-20,208575,
vino blanco semidulce l'antigon d.o valencia,5,7.45,1.49,2019-06-20,208575,
refresco coca-cola zero azucar,1,2.72,2.72,2019-06-20,208575,
refresco coca-cola,2,5.44,2.72,2019-06-20,208575,
refresco fanta naranja,2,2.58,1.29,2019-06-20,208575,
refresco fanta limon,8,10.56,1.32,2019-06-20,208575,
tonica nordic mist,6,18.72,3.12,2019-06-20,208575,
vodka absolut,2,23.9,11.95,2019-06-20,208575,
ron dominicano anejo superior brugal,3,40.95,13.65,2019-06-20,208575,
cerveza clasica steinburg,12,36.0,3.0,2019-06-20,208575,
gelatina sabor fresa hacendado,1,0.85,0.85,2022-07-13,996926,
patatas,1,4.4,4.4,2022-07-13,996926,
refresco coca-cola zero azucar,1,8.4,8.4,2022-07-13,996926,
cerveza tostada turia,1,6.0,6.0,2022-07-13,996926,
jamon cocido extra hacendado finas lonchas,1,3.17,3.17,2022-07-13,996926,
pechuga de pavo bajo en sal hacendado finas lonchas,1,3.19,3.19,2022-07-13,996926,
trampa antipolillas de los alimentos bosque verde,1,2.0,2.0,2022-07-13,996926,
estropajo suciedad resistente bosque verde,1,0.85,0.85,2022-07-13,996926,
lavavajillas ultra original fairy liquido,1,3.25,3.25,2022-07-13,996926,
limpiador cal y suciedad cillit bang,1,3.9,3.9,2022-07-13,996926,
mejillones en escabeche hacendado medianos,2,3.5,1.75,2022-07-13,996926,
maiz dulce hacendado,1,1.25,1.25,2022-07-13,996926,
salsa fresca roquefort hacendado,1,1.3,1.3,2022-07-13,996926,
