description,units,price_eu,unit_price,date,order_num
Refresco Coca-Cola,1,7.92,7.92,2021-09-07,9115773
Preparado de carne picada vacuno y cerdo,1,5.19,5.19,2021-09-07,9115773
Berberecho al natural XS Hacendado,2,3.8,1.9,2021-09-07,9115773
Queso rallado Hacendado especial fundir,1,1.0,1.0,2021-09-07,9115773
Gel de baño oliva Deliplus piel seca,2,2.4,1.2,2021-09-07,9115773
Zumo pura naranja Hacendado,2,2.0,1.0,2021-09-07,9115773
Cebollas,2,2.38,1.19,2021-09-07,9115773
Zanahorias,1,0.69,0.69,2021-09-07,9115773
Ajos morados,1,1.45,1.45,2021-09-07,9115773
Pechuga de pavo al horno de leña Campofrío lonchas,4,6.2,1.55,2021-09-07,9115773
Mantequilla con sal Hacendado,2,3.3,1.65,2021-09-07,9115773
11 Panecillos,1,1.0,1.0,2021-09-07,9115773
Mejillones en escabeche Hacendado medianos,2,3.2,1.6,2021-09-07,9115773
Leche desnatada Pascual,4,19.2,4.8,2021-09-07,9115773
Longaniza de Pascua Hacendado,1,3.0,3.0,2021-09-07,9115773
Zumo de manzana Hacendado,2,1.18,0.59,2021-09-07,9115773
Yogur líquido desnatado natural Hacendado edulcorado,2,2.32,1.16,2021-09-07,9115773
Palitos de pan con pipas Anitin,3,3.57,1.19,2021-09-07,9115773
Aceitunas manzanilla rellenas de anchoa Hacendado reducidas en sal,1,1.8,1.8,2021-09-07,9115773
Papel higiénico Doble Rollo Bosque Verde,1,3.95,3.95,2021-09-07,9115773
Fuet espetec extra Hacendado,4,7.96,1.99,2021-09-07,9115773
Café en cápsula sontuoso L'Or Espresso,5,17.0,3.4,2021-09-07,9115773
Cerveza clásica Mahou,1,5.88,5.88,2021-09-07,9115773
Yogur sabores Hacendado,2,1.9,0.95,2021-09-07,9115773
Pasta tiburón Hacendado,2,0.96,0.48,2021-09-07,9115773
Peras conferencia,1,1.9,1.9,2021-09-07,9115773
Filetes pechuga de pollo corte fino,1,4.68,4.68,2021-09-07,9115773
Filetes pechuga de pollo corte fino,1,3.94,3.94,2021-09-07,9115773
Cuartos traseros familiar de pollo,1,4.59,4.59,2021-09-07,9115773
Cuartos traseros familiar de pollo,1,4.35,4.35,2021-09-07,9115773
Escalopines de salmón sin espinas,1,8.59,8.59,2021-09-07,9115773
Escalopines de salmón sin espinas,1,8.63,8.63,2021-09-07,9115773
Puerros,1,2.01,2.01,2021-09-07,9115773
Puerros,1,1.91,1.91,2021-09-07,9115773
Queso tierno Entrepinares lonchas,1,1.8,1.8,2021-09-07,9115773
Queso tierno Entrepinares lonchas,1,1.78,1.78,2021-09-07,9115773
Chuletas de cordero palo o riñonada congeladas,1,6.6,6.6,2021-09-07,9115773
Solomillo de pavo marinado congelado,1,2.56,2.56,2021-09-07,9115773
Solomillo de pavo marinado congelado,1,1.93,1.93,2021-09-07,9115773
Rodajas de atún congelado Hacendado,1,2.84,2.84,2021-09-07,9115773
Bífidus desnatado Hacendado frutas del bosque,1,0.95,0.95,2020-08-28,140937
Espárrago verde fino,1,2.15,2.15,2020-08-28,140937
Cebollas dulces,1,1.99,1.99,2020-08-28,140937
Nuez natural Hacendado,1,2.79,2.79,2020-08-28,140937
Macedonia de verduras Hacendado,1,0.75,0.75,2020-08-28,140937
Guisantes extra Hacendado,1,0.57,0.57,2020-08-28,140937
Pepino,1,0.47,0.47,2020-08-28,140937
Dentífrico original Binaca,1,1.5,1.5,2020-08-28,140937
Servilleta papel Bosque Verde,1,0.9,0.9,2020-08-28,140937
Patata,3,0.96,0.32,2020-08-28,140937
Kéfir natural sabor suave,2,2.8,1.4,2020-08-28,140937
Pizza masa fina 4 quesos Hacendado ultracongelada,1,2.29,2.29,2020-08-28,140937
Zanahoria rallada base para ensalada,1,0.75,0.75,2020-08-28,140937
Plátano,6,1.79,0.29833333333333334,2020-08-28,140937
Pimiento rojo,1,0.9,0.9,2020-08-28,140937
Tomate pera,10,1.78,0.178,2020-08-28,140937
Tomate ensalada,2,0.91,0.455,2020-08-28,140937
Garbanzo cocido Hacendado,1,0.7,0.7,2020-08-28,140937
Filetes de merluza del cabo sin piel Hacendado ultracongelados,1,3.85,3.85,2020-08-28,140937
Huevos de gallinas camperas,1,1.95,1.95,2020-08-28,140937
