description,units,price_eu,unit_price,date,order_num
Friegasuelos pino Bosque Verde líquido,1,0.68,0.68,2020-10-01,466635
Salteado de verduras asadas Hacendado ultracongeladas,1,1.5,1.5,2020-10-01,466635
Parrillada de verduras Hacendado ultracongeladas,1,1.2,1.2,2020-10-01,466635
Ensalada mezcla dúo canónigos y rúcula,1,1.35,1.35,2020-10-01,466635
Jabón de manos dermoprotector Deliplus líquido,2,1.6,0.8,2020-10-01,466635
Garbanzo cocido Hacendado,2,1.4,0.7,2020-10-01,466635
Servilleta papel Bosque Verde,1,0.92,0.92,2020-10-01,466635
Patatas,1,3.95,3.95,2020-10-01,466635
Cebollas,1,1.3,1.3,2020-10-01,466635
Sal lavavajillas Bosque Verde en pastillas,1,1.4,1.4,2020-10-01,466635
Agua mineral Cortes,2,1.46,0.73,2020-10-01,466635
Perfilador de cejas definidor Deliplus 01,1,3.95,3.95,2018-04-12,73955
Lechuga iceberg base para ensalada,1,0.87,0.87,2018-04-12,73955
Nata ligera para cocinar Hacendado,1,1.32,1.32,2018-04-12,73955
Café molido natural Hacendado,1,1.05,1.05,2018-04-12,73955
Macarrón al huevo Hacendado,1,0.99,0.99,2018-04-12,73955
Arroz redondo La Fallera,1,1.35,1.35,2018-04-12,73955
Papel higiénico húmedo WC Bosque Verde,1,1.74,1.74,2018-04-12,73955
Servilleta papel suavidad y absorción Bosque Verde,1,0.99,0.99,2018-04-12,73955
Plátano,4,1.82,0.455,2018-04-12,73955
Discos desmaquillantes Deliplus redondos,1,0.95,0.95,2018-04-12,73955
Protegeslip normal Deliplus,1,1.95,1.95,2018-04-12,73955
Compresa con alas normal Evax cotton like,1,3.95,3.95,2018-04-12,73955
Calabacín verde,4,2.9,0.725,2018-04-12,73955
Aceite de oliva virgen Hacendado,1,9.3,9.3,2018-04-12,73955
Vinagre de vino blanco Hacendado,1,0.49,0.49,2018-04-12,73955
Huevos grandes L,1,1.45,1.45,2018-04-12,73955
Yogur bífidus desnatado Hacendado frutas del bosque,1,0.95,0.95,2018-04-12,73955
Yogur natural azucarado Hacendado,1,1.44,1.44,2018-04-12,73955
Azúcar moreno de caña integral Acor,1,1.87,1.87,2018-04-12,73955
Azúcar blanco,1,0.69,0.69,2018-04-12,73955
Suavizante ropa talco Bosque Verde concentrado,1,1.79,1.79,2018-04-12,73955
Amoníaco con detergente Bosque Verde,1,0.85,0.85,2018-04-12,73955
Limpiador baños Bosque Verde en gel,1,1.3,1.3,2018-04-12,73955
Fregasuelos pino Bosque Verde líquido,1,0.68,0.68,2018-04-12,73955
Ajo morado,1,1.75,1.75,2018-04-12,73955
Cebolla amarilla,1,1.29,1.29,2018-04-12,73955
Pan de molde con avena Hacendado,1,1.25,1.25,2018-04-12,73955
Espárragos muy gruesos Hacendado blancos enteros,1,2.53,2.53,2018-04-12,73955
Alubia cocida blanca Hacendado,2,1.18,0.59,2018-04-12,73955
Agua mineral Cortes,1,0.73,0.73,2018-04-12,73955
Bacón Hacendado cintas,1,1.85,1.85,2018-04-12,73955
Garbanzo cocido Hacendado,2,1.4,0.7,2018-04-12,73955
Maíz dulce Hacendado,1,0.95,0.95,2018-04-12,73955
Café en cápsula sontuoso L'Or Espresso,2,6.58,3.29,2018-04-12,73955
Arroz cocido integral Brillante,1,1.1,1.1,2018-04-12,73955
Tomate frito receta artesana Hacendado,1,1.7,1.7,2018-04-12,73955
Longaniza de payés Hacendado lonchas,1,1.45,1.45,2018-04-12,73955
Chocolate con leche Lindt,1,1.15,1.15,2018-04-12,73955
Patata,1,3.5,3.5,2018-04-12,73955
Bacón Oscar Mayer lonchas,1,1.75,1.75,2018-04-12,73955
Chocolate con leche Milka,1,1.01,1.01,2018-04-12,73955
Taquitos de chorizo Revilla,1,2.1,2.1,2018-04-12,73955
Dentífrico max white one Colgate,1,2.7,2.7,2018-04-12,73955
Leche desnatada Pascual,1,5.34,5.34,2018-04-12,73955
Caldo de verduras Hacendado,1,1.0,1.0,2018-04-12,73955
Papel higiénico doble rollo Bosque Verde,1,3.74,3.74,2018-04-12,73955
Chorizo extra Hacendado lonchas,1,1.39,1.39,2018-04-12,73955
Jamón serrano Incarlopsa lonchas extra finas,1,1.99,1.99,2018-04-12,73955
Mini taquitos de jamón Incarlopsa,1,1.95,1.95,2018-04-12,73955
Queso rallado Entrepinares,2,2.0,1.0,2018-04-12,73955
Lenteja cocida Hacendado,2,1.18,0.59,2018-04-12,73955
Hogaza 100% natural,1,1.0,1.0,2018-04-12,73955
Café en cápsula ristretto L'Or Espresso,3,9.87,3.2899999999999996,2018-04-12,73955
Albóndigas de carne Tenedor Plata ultracongeladas,1,1.6,1.6,2018-04-12,73955
Morcilla oreada d' Ontinyent,1,1.39,1.39,2018-04-12,73955
Ketchup Heinz,1,2.45,2.45,2019-05-22,185199
Edulcorante en pastillas sacarina Hacendado,1,1.05,1.05,2019-05-22,185199
Azúcar moreno de caña integral Acor,1,1.87,1.87,2019-05-22,185199
Azúcar blanco,1,0.69,0.69,2019-05-22,185199
Nidos al huevo tagliatelle Hacendado,1,1.15,1.15,2019-05-22,185199
Spaghetti Hacendado,2,1.5,0.75,2019-05-22,185199
Albaricoque,1,0.21,0.21,2019-05-22,185199
Kiwi verde,4,1.17,0.2925,2019-05-22,185199
Salmón marinado Ubago,1,2.35,2.35,2019-05-22,185199
Tomate frito Hacendado,1,0.8,0.8,2019-05-22,185199
Nata ligera para cocinar Hacendado,1,1.32,1.32,2019-05-22,185199
Salchichón extra Hacendado lonchas,1,1.39,1.39,2019-05-22,185199
Bacón Hacendado cintas,1,1.85,1.85,2019-05-22,185199
Papel multiusos resistente Bosque Verde,1,2.89,2.89,2019-05-22,185199
Mozzarella fresca Hacendado,2,1.6,0.8,2019-05-22,185199
Spaghetti al huevo Hacendado,1,0.99,0.99,2019-05-22,185199
Arroz cocido integral Brillante,1,1.1,1.1,2019-05-22,185199
Jabón de manos dermoprotector Deliplus líquido,1,0.8,0.8,2019-05-22,185199
Lavavajillas ultra original Fairy líquido,1,2.8,2.8,2019-05-22,185199
Lomo embuchado Hacendado lonchas,1,1.71,1.71,2019-05-22,185199
Anguriñas Pescanova ultracongeladas,1,2.19,2.19,2019-05-22,185199
Gel de baño oliva Deliplus piel seca,1,1.35,1.35,2019-05-22,185199
"Champú agua de coco Fructis raíces grasas, puntas secas",1,2.95,2.95,2019-05-22,185199
Chocolate con leche Lindt,1,1.25,1.25,2019-05-22,185199
Yogur bífidus desnatado Hacendado frutas del bosque,1,0.95,0.95,2019-05-22,185199
Plátano,5,1.77,0.354,2019-05-22,185199
Compresa con alas normal Evax cotton like,1,3.95,3.95,2019-05-22,185199
Níspero,1,1.56,1.56,2019-05-22,185199
Solomillo de cerdo,1,4.99,4.99,2019-05-22,185199
Solomillo de cerdo,1,4.32,4.32,2019-05-22,185199
Aguacate,1,1.86,1.86,2019-05-22,185199
Chorizo oreado,1,1.79,1.79,2019-05-22,185199
Queso havarti light Hacendado lonchas,1,2.48,2.48,2019-05-22,185199
Paraguayo,4,0.73,0.1825,2019-05-09,278125
Melocotón amarillo,5,1.51,0.302,2019-05-09,278125
Harina de trigo Hacendado,1,0.43,0.43,2019-05-09,278125
Crema al cacao con avellanas Nutella,1,2.75,2.75,2019-05-09,278125
Tempura 7 verduras Hacendado ultracongelada,1,1.85,1.85,2019-05-09,278125
Salmorejo fresco Hacendado,1,2.96,2.96,2019-05-09,278125
Ensalada poke salmón,1,3.85,3.85,2019-05-09,278125
Queso en dados feta Hacendado,1,1.7,1.7,2019-05-09,278125
Gazpacho fresco Hacendado,1,2.69,2.69,2019-05-09,278125
Canónigos base para ensalada,1,1.19,1.19,2019-05-09,278125
Bolsa de basura grande Bosque Verde 50L cubo grande,1,1.55,1.55,2019-05-09,278125
Lavavajillas todo en 1 Bosque Verde en pastillas,1,2.7,2.7,2019-05-09,278125
Guantes de látex Rubberex talla pequeña,1,0.7,0.7,2019-05-09,278125
Salfumant Bosque Verde,1,0.75,0.75,2019-05-09,278125
Detergente ropa blanca y de color Bosque Verde líquido concentrado,1,6.95,6.95,2019-05-09,278125
Lejía con detergente Bosque Verde,1,0.71,0.71,2019-05-09,278125
