categoria,subcategoria,descripcion,unidades,precio
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Mostaza clásica Hacendado,Bote 388 g,"1,35 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Allioli Chovi,Tarrina 180 ml,"1,35 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Allioli Hacendado,Tarrina 200 ml,"1,10 € /ud."
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",Allioli en sobres individuales Hacendado,Paquete 8 sobres (160 ml),"1,50 € /ud."
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado,3 bricks x 400 g,"1,40 € /pack"
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado,3 mini bricks x 210 g,"1,10 €1,00 € /pack"
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado,Tarro 560 g,"0,95 €0,85 € /ud."
"Aceite, especias y salsas",Otras salsas,Tomate frito receta artesana Hacendado,Tarro 560 g,"2,40 € /ud."
"Aceite, especias y salsas",Otras salsas,Tomate frito receta artesana Hacendado,Tarro 300 g,"1,65 € /ud."
"Aceite, especias y salsas",Otras salsas,Tomate frito estilo casero Hacendado,Brick 380 g,"1,30 € /ud."
"Aceite, especias y salsas",Otras salsas,Tomate frito Hacendado con aceite de oliva,3 mini bricks x 210 g,"1,40 € /pack"
"Aceite, especias y salsas",Otras salsas,Tomate frito sin azúcares añadidos Hacendado,Tarro 560 g,"1,20 €1,10 € /ud."
"Aceite, especias y salsas",Otras salsas,Tomate frito con cebolla Hacendado,Brick 380 g,"1,35 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa barbacoa Hacendado,Bote 350 g,"1,15 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa pimienta verde Hacendado,Sobre 50 g,"1,25 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa burger Hacendado,Bote 250 ml,"1,35 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa estilo argentino Hacendado,Bote 300 g,"1,60 €1,50 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa Piri Piri Hacendado,Botella 195 ml,"1,00 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa pesto con albahaca Hacendado,Tarro 190 g,"2,10 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa de tomate boloñesa Hacendado,Tarro 290 g,"1,65 €1,55 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa de tomate Basilico con albahaca Hacendado,Tarro 290 g,"1,50 €1,40 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa fresca Trufa Hacendado,Paquete 140 g,"1,45 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa fresca Queso Hacendado,Paquete 180 g,"1,45 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa fresca Pesto con albahaca Hacendado,Tarrina 150 g,"2,00 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa fresca Setas,Paquete 180 g,"1,55 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa fresca Carbonara Hacendado,Paquete 200 g,"1,55 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa de soja Hacendado,Botella 250 ml,"1,45 €1,40 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa teriyaki Hacendado,Botella 250 ml,"1,65 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa agridulce Salsas Asturianas,Bote 340 g,"1,70 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa thai chili dulce J-Lek,Botella 250 ml,"1,55 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa de soja sin gluten Hacendado,Botella 250 ml,"2,50 € /ud."
"Aceite, especias y salsas",Otras salsas,Guacamole Hacendado,Tarrina 500 g,"3,59 € /ud."
"Aceite, especias y salsas",Otras salsas,Guacamole Hacendado,Tarrina 200 g,"1,75 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa yogur Hacendado,Bote 310 ml,"1,25 €1,20 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa mexicana Hacendado,Tarro 300 g,"1,25 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa Ranch Hacendado,Bote 250 ml,"1,35 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa césar Hacendado,Bote 310 ml,"1,40 € /ud."
"Aceite, especias y salsas",Otras salsas,"Aliño de aceite, ajo y perejil Hacendado",Tarrina 150 ml,"1,50 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa miel y mostaza Hacendado,Bote 340 g,"1,50 €1,45 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa de trufas,Bote 80 g,"3,10 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa gajos rústica Hacendado,Bote 250 ml,"1,35 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa de queso Hacendado,Tarro 280 ml,"1,75 € /ud."
"Aceite, especias y salsas",Otras salsas,Chili con carne Hacendado,Bote 420 g,"2,65 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa bechamel Knorr,Brick 500 ml,"2,25 € /ud."
"Aceite, especias y salsas",Otras salsas,Extracto original de buey Bovril,Tarro 125 g,"3,00 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa cocktail Hacendado,Bote 460 ml,"1,50 €1,40 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa romesco Ferrer,Tarro 130 g,"1,80 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa calçots Ferrer,Tarro 320 g,"2,69 € /ud."
"Aceite, especias y salsas",Otras salsas,Pasta de sésamo Tahini Hacendado,Tarro 200 g,"2,95 € /ud."
"Aceite, especias y salsas",Otras salsas,Salsa brava Hacendado,Bote 310 g,"1,80 € /ud."
Agua y refrescos,Agua,Agua mineral grande Font Agudes,Garrafa 8 L,"0,89 € /ud."
Agua y refrescos,Agua,Agua mineral grande Font Agudes,Garrafa 6 L,"0,78 € /ud."
Agua y refrescos,Agua,Agua mineral grande Font Agudes,"6 botellas x 1,5 L","1,50 € /pack"
Agua y refrescos,Agua,Agua mineral grande Font Agudes,"Botella 1,5 L","0,25 € /ud."
Agua y refrescos,Agua,Agua mineral mediana Font Agudes,6 botellas x 1 L,"2,40 € /pack"
Agua y refrescos,Agua,Agua mineral mediana Font Agudes,Botella 1 L,"0,40 € /ud."
Agua y refrescos,Agua,Agua mineral pequeña Font Agudes,6 botellas x 500 ml,"1,32 € /pack"
Agua y refrescos,Agua,Agua mineral pequeña Font Agudes,Botella 500 ml,"0,22 € /ud."
Agua y refrescos,Agua,Agua mineral pequeña Font Agudes tapón infantil,6 botellas x 330 ml,"1,44 € /pack"
Agua y refrescos,Agua,Agua mineral pequeña Font Agudes tapón infantil,Botella 330 ml,"0,24 € /ud."
Agua y refrescos,Agua,Agua mineral grande Bronchales,Garrafa 6 L,"1,26 € /ud."
Agua y refrescos,Agua,Agua mineral grande Bronchales,"6 botellas x 1,5 L","2,34 € /pack"
Agua y refrescos,Agua,Agua mineral grande Bronchales,"Botella 1,5 L","0,39 € /ud."
Agua y refrescos,Agua,Agua mineral mediana Bronchales,6 botellas x 1 L,"3,00 € /pack"
Agua y refrescos,Agua,Agua mineral mediana Bronchales,Botella 1 L,"0,50 € /ud."
Agua y refrescos,Agua,Agua mineral pequeña Bronchales,6 botellas x 500 ml,"1,62 € /pack"
Agua y refrescos,Agua,Agua mineral pequeña Bronchales,Botella 500 ml,"0,27 € /ud."
Agua y refrescos,Agua,Agua mineral pequeña Bronchales tapón infantil,6 botellas x 330 ml,"2,28 € /pack"
Agua y refrescos,Agua,Agua mineral pequeña Bronchales tapón infantil,Botella 330 ml,"0,38 € /ud."
Agua y refrescos,Agua,Agua mineral grande Bezoya,"6 botellas x 1,5 L","4,44 €4,14 € /pack"
Agua y refrescos,Agua,Agua mineral grande Bezoya,"Botella 1,5 L","0,74 €0,69 € /ud."
Agua y refrescos,Agua,Agua mineral grande Ribes,Garrafa 8 L,"1,99 € /ud."
Agua y refrescos,Agua,Agua mineral grande Ribes,"6 botellas x 1,5 L","3,30 € /pack"
Agua y refrescos,Agua,Agua mineral grande Ribes,"Botella 1,5 L","0,55 € /ud."
Agua y refrescos,Agua,Agua mineral grande Nestlé Aquarel,"6 botellas x 1,5 L","3,54 € /pack"
Agua y refrescos,Agua,Agua mineral grande Nestlé Aquarel,"Botella 1,5 L","0,59 € /ud."
Agua y refrescos,Agua,Agua mineral grande Font Vella,"6 botellas x 1,5 L","4,20 € /pack"
Agua y refrescos,Agua,Agua mineral grande Font Vella,"Botella 1,5 L","0,73 € /ud."
Agua y refrescos,Agua,Agua mineral grande Solán de Cabras,"6 botellas x 1,5 L","5,34 € /pack"
Agua y refrescos,Agua,Agua mineral grande Solán de Cabras,"Botella 1,5 L","0,89 € /ud."
Agua y refrescos,Agua,Agua mineral grande Viladrau,"6 botellas x 1,5 L","3,78 € /pack"
Agua y refrescos,Agua,Agua mineral grande Viladrau,"Botella 1,5 L","0,63 € /ud."
Agua y refrescos,Agua,Agua de coco Chaokoh 100% natural,Brick 1 L,"2,60 € /ud."
Agua y refrescos,Agua,Agua mineral con gas grande Vichy Catalan,Botella 1 L,"1,49 € /ud."
Agua y refrescos,Agua,Agua mineral con gas pequeña Vichy Catalan,6 botellas x 300 ml,"5,89 € /pack"
Agua y refrescos,Agua,Agua mineral con gas grande Cortes,"6 botellas x 1,5 L","2,46 € /pack"
Agua y refrescos,Agua,Agua mineral con gas grande Cortes,"Botella 1,5 L","0,41 € /ud."
Agua y refrescos,Agua,Agua mineral con gas pequeña Cortes,6 botellas x 500 ml,"1,62 € /pack"
Agua y refrescos,Agua,Agua mineral con gas pequeña Cortes,Botella 500 ml,"0,27 € /ud."
Agua y refrescos,Agua,Agua mineral con gas grande San Narciso,Botella 1 L,"1,29 € /ud."
Agua y refrescos,Agua,Agua mineral con gas grande San Pellegrino,6 botellas x 1 L,"8,16 € /pack"
Agua y refrescos,Agua,Agua mineral con gas grande San Pellegrino,Botella 1 L,"1,36 € /ud."
Agua y refrescos,Agua,Agua de soda con sifón La Casa,"Botella 1,5 L","1,60 € /ud."
Agua y refrescos,Agua,Agua mineral con gas grande Fonter,6 botellas x 1 L,"6,84 € /pack"
Agua y refrescos,Agua,Agua mineral con gas grande Fonter,Botella 1 L,"1,14 € /ud."
Agua y refrescos,Agua,Gaseosa Hacendado grande,"Botella 1,5 L","0,50 € /ud."
Agua y refrescos,Agua,Gaseosa Hacendado pequeña,6 botellas x 500 ml,"1,92 € /pack"
Agua y refrescos,Agua,Gaseosa Hacendado pequeña,Botella 500 ml,"0,32 € /ud."
Agua y refrescos,Agua,Gaseosa La Casera grande,"2 botellas x 1,5 L","2,36 € /pack"
Agua y refrescos,Agua,Gaseosa La Casera grande,"Botella 1,5 L","1,20 € /ud."
Agua y refrescos,Isotónico y energético,Bebida isotónica limón Aquarius,"Botella 1,5 L","1,99 € /ud."
Agua y refrescos,Isotónico y energético,Bebida isotónica limón Aquarius,8 latas x 330 ml,"6,80 €6,24 € /pack"
Agua y refrescos,Isotónico y energético,Bebida isotónica limón Aquarius,Lata 330 ml,"0,89 €0,80 € /ud."
Agua y refrescos,Isotónico y energético,Bebida isotónica sabor cítrico Iso drink,"Botella 1,5 L","1,00 € /ud."
Agua y refrescos,Isotónico y energético,Bebida isotónica sabor cítrico Iso drink,6 latas x 330 ml,"2,70 € /pack"
Agua y refrescos,Isotónico y energético,Bebida isotónica sabor cítrico Iso drink,Lata 330 ml,"0,45 € /ud."
Agua y refrescos,Isotónico y energético,Bebida isotónica naranja Aquarius,"Botella 1,5 L","1,99 € /ud."
Agua y refrescos,Isotónico y energético,Bebida isotónica naranja Aquarius,8 latas x 330 ml,"6,80 €6,24 € /pack"
Agua y refrescos,Isotónico y energético,Bebida isotónica naranja Aquarius,Lata 330 ml,"0,89 €0,80 € /ud."
Agua y refrescos,Isotónico y energético,Bebida isotónica limón Aquarius zero azúcar,"Botella 1,5 L","1,99 € /ud."
Agua y refrescos,Isotónico y energético,Bebida isotónica de naranja Iso drink,"Botella 1,5 L","1,00 € /ud."
Agua y refrescos,Isotónico y energético,Bebida isotónica de naranja Iso drink,6 latas x 330 ml,"2,70 € /pack"
Agua y refrescos,Isotónico y energético,Bebida isotónica de naranja Iso drink,Lata 330 ml,"0,45 € /ud."
Agua y refrescos,Isotónico y energético,Bebida isotónica Iso On blue Hacendado,"Botella 1,5 L","1,55 € /ud."
Agua y refrescos,Isotónico y energético,Bebida isotónica Iso On blue Hacendado,Botella 500 ml,"0,60 € /ud."
Agua y refrescos,Isotónico y energético,Bebida isotónica azul Powerade,Botella 500 ml,"1,52 € /ud."
Agua y refrescos,Isotónico y energético,Bebida energética Energy Drink Zero Hacendado,6 latas x 250 ml,"2,70 €2,40 € /pack"
Agua y refrescos,Isotónico y energético,Bebida energética Zero Hacendado,Lata 250 ml,"0,40 € /ud."
Agua y refrescos,Isotónico y energético,Bebida energética Energy Ultra zero Monster,4 latas x 500 ml,"6,68 € /pack"
Agua y refrescos,Isotónico y energético,Bebida energética Energy Ultra zero Monster,Lata 500 ml,"1,79 € /ud."
Agua y refrescos,Isotónico y energético,Bebida energética energy Monster,4 latas x 500 ml,"7,08 €6,00 € /pack"
Agua y refrescos,Isotónico y energético,Bebida energética Energy Monster,Lata 500 ml,"1,89 €1,55 € /ud."
Agua y refrescos,Isotónico y energético,Bebida energética Energy Drink Hacendado,"Botella 1,5 L","1,70 € /ud."
Agua y refrescos,Isotónico y energético,Bebida energética Energy Drink Hacendado,6 latas x 250 ml,"2,70 €2,40 € /pack"
Agua y refrescos,Isotónico y energético,Bebida energética Energy Drink Hacendado,Lata 250 ml,"0,45 €0,40 € /ud."
Agua y refrescos,Isotónico y energético,Bebida energética Red Bull,4 latas x 250 ml,"5,52 €4,77 € /pack"
Agua y refrescos,Isotónico y energético,Bebida energética Red Bull,Lata 250 ml,"1,64 € /ud."
Agua y refrescos,Isotónico y energético,Bebida energética original Burn,4 latas x 500 ml,"4,20 € /pack"
Agua y refrescos,Isotónico y energético,Bebida energética original Burn,Lata 500 ml,"1,10 € /ud."
Agua y refrescos,Isotónico y energético,Gel energético con cafeína Enervit Sport sabor cítricos,3 ud. x 32 g,"3,60 € /pack"
Agua y refrescos,Isotónico y energético,Bebida energética Mango Loco Monster,4 latas x 500 ml,"7,08 € /pack"
Agua y refrescos,Isotónico y energético,Bebida energética Mango Loco Monster,Lata 500 ml,"1,89 € /ud."
Agua y refrescos,Isotónico y energético,Bebida energética Furious Energy drink,Lata 500 ml,"1,07 € /ud."
Agua y refrescos,Isotónico y energético,Bebida energética Tropic Energy drink,Lata 500 ml,"1,07 € /ud."
Agua y refrescos,Isotónico y energético,Malta Maltín Polar,6 botellines x 250 ml,"7,00 € /pack"
Agua y refrescos,Isotónico y energético,Malta Maltín Polar,Botellín 250 ml,"1,17 € /ud."
Agua y refrescos,Isotónico y energético,Bebida energética zero Watermelon Energy drink,Lata 500 ml,"1,00 € /ud."
Agua y refrescos,Refresco de cola,Refresco Coca-Cola,2 botellas x 2 L,"4,64 € /pack"
Agua y refrescos,Refresco de cola,Refresco Coca-Cola,Botella 2 L,"2,36 € /ud."
Agua y refrescos,Refresco de cola,Refresco Coca-Cola,"Botella 1,25 L","1,72 €1,48 € /ud."
