categoria,subcategoria,descripcion,unidades,precio,marca
Despensa,Aperitivos y frutos secos,Patatas Fritas Onduladas Jamón Bolsa 170 Gr,"7,94 € / 1 Kg","1,35 €",CONSUM
Despensa,Aperitivos y frutos secos,Ruedas de Patata Bolsa 80 Gr,"14,38 € / 1 Kg","1,15 €",CONSUM
Despensa,Aperitivos y frutos secos,Tiras de Maíz Sabor Barbacoa 130 Gr,"5,00 € / 1 Kg","0,65 €",CONSUM
Despensa,Aperitivos y frutos secos,Maíz Crudo Palomitas Bolsa 250 Gr,"3,40 € / 1 Kg","0,85 €",CONSUM
Despensa,Aperitivos y frutos secos,Cacahuetes Fritos Piel Bolsa 250 Gr,"5,20 € / 1 Kg","1,30 €",CONSUM
Despensa,Aperitivos y frutos secos,Cortezas de Cerdo Bolsa 100 Gr,"12,70 € / 1 Kg","1,27 €",CONSUM
Despensa,Aperitivos y frutos secos,Piñones Caja 40 Gr,"7,38 € / 100 Gr","2,95 €",CONSUM
Despensa,Aperitivos y frutos secos,Pepinillos Finos Vinagre Frasco 230 Gr,"5,43 € / 1 Kg","1,25 €",CONSUM
Despensa,Aperitivos y frutos secos,Pepinillos Finos Sabor Anchoa Frasco 230 Gr,"6,04 € / 1 Kg","1,39 €",CONSUM
Despensa,Aperitivos y frutos secos,Cocktail Aceitunas y Pepinillos Frasco 500 Gr,"5,78 € / 1 Kg","2,89 €",CONSUM
Despensa,Aperitivos y frutos secos,Banderillas Dulces Frasco 215 Gr,"9,72 € / 1 Kg","2,09 €",CONSUM
Despensa,Aperitivos y frutos secos,Banderillas Picantes Frasco 215 Gr,"9,72 € / 1 Kg","2,09 €",CONSUM
Despensa,Aperitivos y frutos secos,Garbanzos Tostados Bolsa 125 Gr,"10,32 € / 1 Kg","1,29 €",CONSUM
Despensa,Aperitivos y frutos secos,Anacardos Fritos Doypack 200 Gr,"12,95 € / 1 Kg","2,59 €",CONSUM
Despensa,Aperitivos y frutos secos,Avellanas Tostadas Bolsa 200 Gr,"16,45 € / 1 Kg","3,29 €",CONSUM
Despensa,Aperitivos y frutos secos,Aperitivo de Maíz Gustosines Sal Bolsa 96 Gr,"19,69 € / 1 Kg","1,89 €",CHEETOS
Despensa,Aperitivos y frutos secos,Aceitunas Gazpachas Partidas Frasco 500 Gr,"5,30 € / 1 Kg","2,65 €",CONSUM
Despensa,Aperitivos y frutos secos,Dracos Snack de Maíz Sabor Queso-Bacón 80 Gr,"14,88 € / 1 Kg","1,19 €",CONSUM
Despensa,Aperitivos y frutos secos,Guindillas Vascas en Vinagre Frasco 130 Gr,"32,69 € / 1 Kg","4,25 €",GUIPUZCOANA
Despensa,Aperitivos y frutos secos,Pepinillos Estilo Alemán Frasco 880 Gr,"4,88 € / 1 Kg","4,29 €",ORZECH
Despensa,Aperitivos y frutos secos,Nuez Cascara Bolsa 600 Gr,"5,42 € / 1 Kg","3,25 €",CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Bolsa 210 Gr,"6,43 € / 1 Kg","1,35 €",CONSUM
Despensa,Aperitivos y frutos secos,Patatas Fritas Onduladas Bolsa 210 Gr,"6,43 € / 1 Kg","1,35 €",CONSUM
Despensa,Aperitivos y frutos secos,Almendras con Piel Tostadas Sal Bolsa 200 Gr,"14,95 € / 1 Kg","2,99 €",CONSUM
Despensa,Aperitivos y frutos secos,Pipas G con Sal Bolsa 165 Gr,"9,39 € / 1 Kg","1,55 €",GREFUSA
Despensa,Aperitivos y frutos secos,Almendras Repeladas Fritas Bolsa 200 Gr,"14,25 € / 1 Kg","2,85 €",CONSUM
Despensa,Aperitivos y frutos secos,Habas Fritas Bolsa 100 Gr,"12,90 € / 1 Kg","1,29 €",CONSUM
Despensa,Aperitivos y frutos secos,Aceituna Pelotín Sabor Anchoa 250 Gr,"10,36 € / 1 Kg","2,59 €",BERNAL
Despensa,Aperitivos y frutos secos,Cebolla Roja 500 Gr,"6,98 € / 1 Kg","3,49 €",CORBI
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Bolsa 140 Gr,"10,36 € / 1 Kg","1,45 €",DUSO
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Bolsa 300 Gr,"8,97 € / 1 Kg","2,69 €",DUSO
Despensa,Aperitivos y frutos secos,Alcaparras en Vinagre Tarro 80 Gr,"16,25 € / 1 Kg","1,30 €",CONSUM
Despensa,Aperitivos y frutos secos,Cacahuetes con Miel Paquete 150 Gr,"9,00 € / 1 Kg","1,35 €",CONSUM
Despensa,Aperitivos y frutos secos,Aceitunas Manzanilla con Hueso Bolsa 100 Gr,"9,00 € / 1 Kg","0,90 €",JOLCA
Despensa,Aperitivos y frutos secos,Patatas Fritas Lisas Caseras Bolsa Papel 250 Gr,"10,60 € / 1 Kg","2,65 €",VIDAL
